Bar,Average_Compound,情緒轉換分數,Score_Difference,地區
J&J 複合式酒吧,-0.9642,-0.0045900632268965,-0.9596099367731035,中山
TimeBeer 士林店,0.0,0.6794328772836183,-0.6794328772836183,士林
凝聚力音樂娛樂cohesion space,0.0350539325842696,0.611030583232567,-0.5759766506482974,松山
modism muses 繆斯餐酒館,0.9411333333333332,0.3830229363957286,0.5581103969376046,士林
作 SAKU by necoichi,0.3167,0.6794328772836183,-0.36273287728361836,中正
La Salle 森酒吧,0.2895105263157895,0.611030583232567,-0.3215200569167775,中山
TG BISTRO,0.9038200000000002,0.611030583232567,0.2927894167674332,內湖
星河,0.26215,0.5426282891815154,-0.2804782891815154,文山
延壽捌伍,0.3997111111111111,0.6794328772836183,-0.27972176617250727,松山
藍曲音樂吧,0.4019,0.6794328772836183,-0.27753287728361836,文山
角落小吧 Corner Bar 寧夏夜市020,0.4018695652173913,0.6566321125999347,-0.2547625473825434,大同
Ale Music Bar & Bistro,0.36439,0.611030583232567,-0.246640583232567,士林
Kuro 庫羅,0.5329599999999999,0.2918198776609932,0.24114012233900667,大同
買酒網 小巨蛋門市,0.4513076271186441,0.6794328772836183,-0.22812525016497426,松山
my other place restaurant &bar 我的家餐廳酒吧,0.7892699999999999,0.5654290538651993,0.22384094613480066,松山
ASA,0.2092536585365853,0.4286244657630962,-0.2193708072265109,中正
56 diner,0.4658666666666666,0.6794328772836183,-0.21356621061695175,松山
暖閣仕女飛鏢酒吧,0.4470065217391305,0.6566321125999347,-0.20962559086080418,中山
Q9 LOUNGE BAR,0.4279638655462184,0.6338313479162506,-0.20586748237003222,大安
曜日義式餐酒館,0.7256257383966247,0.5198275244978315,0.20579821389879316,大安
Al Darts,0.3616718309859155,0.5654290538651993,-0.20375722287928377,大安
Modism Muses 摩德年代繆斯餐酒館,0.6764326693227092,0.4742259951304638,0.20220667419224536,士林
去斯萬家 chez Swann by Jumi Tavern,0.81125,0.611030583232567,0.20021941676743304,大安
Cheers,0.298,0.4970267598141478,-0.1990267598141478,中山
Taipei Alcohol Exchange Kaffe 台北酒精交易所,0.78634,0.5882298185488829,0.19811018145111714,中正
茶水間全日餐飲,0.3466033333333333,0.5426282891815154,-0.19602495584818208,文山
Arno bar,0.4413327586206896,0.6338313479162506,-0.19249858929556102,中山
Wonder.land 仙境,0.6637041237113402,0.4742259951304638,0.18947812858087643,士林
涂一個未來Bistro（TuTheFuture）,0.4231428571428571,0.611030583232567,-0.18788772608970988,文山
THE BED Ximen,0.4725,0.6566321125999347,-0.18413211259993473,萬華
GUM GUM雞翅啤酒吧,0.7720475218658892,0.5882298185488829,0.1838177033170063,信義
INDULGE Bistro (實驗創新餐酒館),0.748877077363897,0.5654290538651993,0.1834480234986977,大安
4024,0.4290879999999999,0.611030583232567,-0.18194258323256707,士林
麗濱美式酒吧,0.3208018181818182,0.4970267598141478,-0.1762249416323296,中山
B612 Restaurant &Bar _餐酒館_酒吧_餐廳_,0.7869678111587982,0.611030583232567,0.17593722792623123,大安
迷人会,0.8073866666666666,0.6338313479162506,0.17355531875041597,內湖
米絲阿樂局調酒專賣,0.4163423357664233,0.5882298185488829,-0.17188748278245958,文山
nul taipei,0.6456524038461539,0.4742259951304638,0.17142640871569004,大安
弎樓thirdfloor,0.6675086419753087,0.4970267598141478,0.1704818821611609,松山
鳴田酒舫 TomorrowWineShop,0.509435294117647,0.6794328772836183,-0.16999758316597136,大同
