Original,EN,Positive,Negative,Neutral,Compound
"這是一間無酒精的「酒吧」
一直都對這間店非常好奇，終於找到難得可以拜訪的時間
到來時剛好是今天第一組客人，有幸和老闆多聊幾句，了解了這裡的點單方式就像一般去酒吧點酒的方式一樣，告訴老闆喜歡的口味、感覺。接下來就是展現魔法的時刻了！
第一杯點了經典的Gin Tonic，一入口的沁涼和檸檬的香氣、微酸口感，根本喝不出這是有酒精還是無酒精
第二杯想要來點茶香風味，老闆推薦了本日特別的🍵香檳，一入口葡萄的香氛撲鼻而來，緊隨其後的是炭焙烏龍的獨特香氣，尾韻綿長令人回味，實在令人驚艷不已！
日式老宅的環境沒有太多浮誇的裝飾、改造，將精力和注意力都放在調飲本身，這樣的品飲經驗獨特且回味無窮，期待下次再訪！

記得不要No Show傷了老闆的心歐😂","This is a alcohol -free ""bar""
I have always been very curious about this shop, and finally I found a rare time to visit
When I arrived, it was just the first group of guests today. I was fortunate to talk to the boss a few words. I learned that the ordering here is just like the way to go to the bar to order wine. Tell the boss the taste and feeling that the boss likes.The next time is the time to show magic!
The first cup ordered the classic Gin Tonic, Qinliang and the aroma and sour taste of lemon at the entrance. Can't drink it at all.
The second cup wants to have some tea flavor. The boss recommends the special champagne today. It is amazing!
The environment of the Japanese -style house does not have much exaggerated decoration and transformation, and puts energy and attention in the tune itself. Such drinking experience is unique and endless. I look forward to visiting the next time!

Remember not NO Show hurt the boss’s heart, Ou, 😂 😂",0.193,0.028,0.779,0.987
"【一時無酉abvless】🍸亞洲首間無酒精酒吧
在網上看到這奇特的店，看了評價也看不出個所以然，
就只能自己親自去體驗，和酒吧一樣，只是飲品沒有酒精，
沒酒單，想喝什麼樣的飲品和調酒師說，
就會特調一杯屬於你想喝的飲品，
調酒師尋片各地找了很多特別的原料，
經過特調後真有喝到特別的飲品，有驚艷到真好喝！

#一時無酉 #abvless #無酒精酒吧","[For a while without ABVLESS] 🍸 Asia's first wineless bars
Seeing this strange shop on the Internet, I can't see one after reading the evaluation.
I can only experience it myself. Like the bar, I just have no alcoholic drinks.
No wine list, what kind of drink and bartender want to drink, say,
You will have a special drink that you want to drink,
The bartender found a lot of special raw materials everywhere,
After the special adjustment, I really have a special drink, so amazing!

#酉 #abvless #酒 酒",0.192,0.06,0.748,0.9209
"無酒精調酒體驗100分，非常驚艷的一家店，味蕾跟飲品層次都得到了滿足，酒精調酒也忍不住來了1杯，雖然酒精濃度比我想像略高，但依然很喜歡。
我今天一口氣喝了4杯，也許有人覺得貴，但我覺得值得。
列入無限回訪的一家店。","100 points without alcoholic alcohol, a very stunning shop, the taste buds and drinking levels are satisfied, alcohol -tone wine can't help but have a cup. Although the concentration of alcohol is slightly higher than I think, I still like it.
I drank 4 cups in one breath today, maybe some people think it is expensive, but I think it is worth it.
A shop listed in unlimited returns.",0.115,0.022,0.863,0.7111
"好喜歡
真的好喜歡！！！
無酒精飲品非常好喝
明明無酒精卻有呈現酒精感
非常喜歡的店

店主聲音好好聽。。。。
有點像聖皓 =\\\\\\=
而且是有看濱口龍介
還跟我聊韋斯安德森的聖皓

體驗會不會太好。。。
甚至帶了一些口袋名單走

必定再訪！","Love
I really like it!IntersectionIntersection
Wine -free fine drinks are very delicious
Obviously there is no alcohol but has a sense of alcohol
Favorite shop

The owner's voice sounds good.EssenceEssenceEssence
It's a bit like Sheng Hao = \\\\\ case
And I watched Binkou Ryosuke
I also talked to me about the Holy Hao of Wes Anderson

Will the experience be too good?EssenceEssence
I even brought some pocket lists

Visit again!",0.224,0.02,0.756,0.9411
"ㄧ直記錄在我Google 地圖的探險記錄上，但是一直沒有機會可以來探險，剛好今天去吃冰，就順道來了體驗一下，走路從九州純冰大概5分鐘就到了。

這家小酒館非常厲害，厲害的是他開店時間是白天，11:30-19:30。來的顧客可以選有酒精的飲料，也可以選無酒精的飲料，然後沒有酒單，想要喝什麼口味什麼喜好，只要告訴調酒師(老闆)，他就可以調出來，無酒精的部分他可以用替代品去調。

我非常喜歡這家店的氛圍，我可以在這邊待一整個下午，我剛去的時候店內有5位顧客，我估計店內可以坐到6人。

今天喝的是無酒精梅子酒加山楂，口感好特別。店內沒有東西可以吃，想吃東西他隔壁有一事製菓有點心可以買。

老闆阿明非常的有趣，很喜歡跟顧客聊天，他非常保護正在裡面享受喝酒氛圍的客人，我那時候跟他聊天聊到一半， 有一對應該是男女朋友，走進來在東張西望看來看去也沒有講什麼，老闆就在瞪他們，因為老闆覺得他們這樣子東看西看很沒有禮貌。當下真的覺得自己有被尊重的感覺。

如果想要一個人來靜一靜，或者是想來喝無酒精的調酒，又想要找人聊聊天，我覺得都很適合來這個地方，因為他真的很安靜，他沒有吵雜的音樂，沒有絢麗的燈光效果，他就是一個很舒服的環境讓你在那邊放空，又不會喝醉。","O ㄧ Belly recorded on the adventure record of my Google map, but there has been no chance to come to explore. Just to eat ice today, I will experience it by the way. Walking from Kyushu Chunbing for about 5 minutes.

This tavern is very powerful. It is a powerful time that he opened the store during the day, 11:30-19: 30.Customers who come can choose alcoholic beverages, or alcoholic drinks, and then there is no wine list. What good tastes do you want to drink? As long as the bartender (boss) can be told, he can adjust it. He can use alternatives to adjust.

I like the atmosphere of this shop very much. I can stay here for a whole afternoon. When I first went, I had 5 customers in the store. I estimated that the store could sit in 6 people.

Today, I drink alcoholic plum wine and hawthorn, which has a good taste.There is nothing to eat in the store. If you want to eat something, there is one thing to make fruits to buy next door.

The boss Amin is very interesting and likes to chat with customers. He is very protected by the guests who are enjoying the drinking atmosphere. I chatted with him at that time. There was a pair of men and women. I didn't say anything, the boss was staring at them, because the boss felt that they looked at it like this.At the moment, I really feel that I feel respected.

If you want to be alone, or want to drink alcoholic bartending, and want to find someone to chat, I think it's all suitable for this place, because he is really quiet, he has no noisy music Without gorgeous lighting effects, he is a very comfortable environment to let you go there without drunk.",0.174,0.033,0.793,0.9934
"中山區隱藏版酒吧🍸供應無酒精調酒與甜點😍旁邊是理髮廳💇‍♂️酒吧與理髮廳融合於老舊日式建築當中，相當特別的空間！即便是老舊建築但整理得很乾淨，若遇到好天氣屋內的採光應該會特別漂亮！

無菜單，老闆可替客人客製化調整飲品，很細心也很健談。內用只有四個座位，每位客人都能被老闆關心及照料到，是個適合舒舒服服聊天放鬆喝個下午酒的好地方！","The hidden version of the Zhongshan District 应 offers wine -free alcohol and desserts. Next to it is the Barber Hall 💇‍♂️ Bar and the Barber Hall are integrated into old Japanese buildings, which is quite different!Even if it is an old building, it is very clean.

No menu, the boss can customize the drink for the guests, very careful and talkative.There are only four seats in the interior, and each guest can be cared and taken care of by the boss. It is a good place suitable for comfortable and chatting to drink and drink for an afternoon wine!",0.176,0.021,0.804,0.9551
"這裡沒有菜單，由主理人根據你想要的口味親自調製，店裡只有六個位子，無法預定，大部分只有周末開，建議可以早點來，因為只營業到七點。
非常好的一個體驗，去除了酒精的調酒，更多回到香氣，液體層次的變化，沒有了酒感回歸到了每瓶酒的風味，發酵，跟主理人說的一樣，就是一場科學的實驗，咖啡，茶，酒，冰塊，香料，彼此間的化學變化，比例跟層次，不到30歲的主理人跟他聊天會得到很多，繼續深聊後，他對於老威士忌的喜愛，更是讓人驚呼，拿出的每隻威士忌，都是會讓人想來上一杯，而我真的也就來上了一杯，雖然是抱著無酒精前來一時無酉，最後的老威士忌的驚喜，卻是讓我非常開心，但他不是隨意就會把他的珍藏拿出來，你如果也是同道中人，也很愛老酒，可以試試跟主理人聊聊，說不定他就會拿出這個有酒精的隱藏菜單給你了。
下次回台灣還會再來","There is no menu here, and the principal personally prepares according to the taste you want. There are only six seats in the store and cannot be reserved. Most of them are only open on weekends. It is recommended to come early because it only opens to seven o'clock.
A very good experience, removing the bartending of alcohol, more back to the aroma, the change of liquid levels, no wine feels back to the flavor of each bottle of wine, fermentation, the same as the principal, is a science, which is a science, which is a science. It is a science. Experiments, coffee, tea, wine, ice cubes, spices, chemical changes, proportions and levels, the principals who are less than 30 years old will get a lot of chat with him. After continuing to talk deeply, his love for the old whiskey is It is even more exciting. Each whiskey I took out will make people want to get a cup, and I really came to a cup, although I came with no alcohol. The surprise of whiskey is very happy, but he does not take out his treasures at will. If you are also a fellow, you also love old wine, you can try to talk to the principal. Will take out this alcohol hidden menu for you.
I will come again next time I return to Taiwan",0.1,0.02,0.881,0.9554
"非常棒的體驗！舒服的環境配上好喝的無酒精調酒。
沒有酒單，想喝什麼都可以跟老闆討論！
非常推薦的一間bar","A great experience!A comfortable environment with delicious alcohol -free alcohol.
There is no wine list, you can discuss everything if you want to drink!
A very recommended BAR",0.442,0.053,0.505,0.9449
"相當有創意和故事的無酒精調酒
環境許多網友都已經介紹
單獨說說飲品的體驗

從健談熱情的老闆口中
得到了很多冷知識
但也豐富了體驗

當然少了酒精
一定會有風味的差異
所以在評比時一直在想
到底美中不足的
是先天的限制
到底無酒精調酒和一般飲品
差異又在哪？
結束後在交通過程中
花了時間聽了店主先前的podcast 專訪

我只能說… 大概就是層次吧
一般的飲料
我們追求的是融合後的味道
Mixwell後變成一種單一的口味
調酒追求的就是融合中又帶著層次和尾韻吧？

既然改變不了無酒精的體質
如果不是氣泡質地的調酒
會很期待店家能提供特色的小鹹食
相信無酒精的特點會更能彰顯
那時後就絕對會是完美的五分","Quite creative and storyless alcohol cocktails
Many users have been introduced in the environment
Speak the drink experience alone

From the boss's mouth
Get many cold knowledge
But also rich experience

Of course, less alcohol
There will be a difference between flavors
So there has been a desire when the reviews are
In the end, the US-China is inadequate
Congenital Limitations
In the end, alcohol-free cocktail and general drinks
Differences are there?
After the end of the traffic process
Flower time listening to the owner's previous podcast exclusive interview

I can only say...probably the level of layers
Generally drinks
I pursuing the taste after the pursuit of fusion
After Mixwell becomes a single taste
Cocktail pursuit is fused in the fusion again with layers and tail rhyme bars?

Since altering the alcoholic ion quality
If the sake of air bubble texture is cocktailed
Will look forward to the shopkeeper to provide characteristic small salty food
I believe the alcoholless character will be more highlighted
In the time of Gins, it will definitely be the perfect five marks",0.109,0.026,0.865,0.9532
"隱藏在中山站日治時期老屋的無酒精/無酒單調酒小店，位子很少、不接受訂位，只開到7點所以很看個人運氣🫢

老闆年輕帥，想喝什麼都可以變出來給你。這次喝了無酒精紅酒混巧克力跟七味粉（？）、茶基底的香檳，真的太好喝～小小杯更顯可貴與精緻。

不定期跟外面餐酒館合作供應甜點，這次是供應aka也室的瑪德蓮跟可麗露～好吃！","Hidden in the old house during the Japanese rule of Zhongshan Station, the alcohol -free/monotonous wine shop, there are very few seats and do not accept the reservation, only 7 o'clock, so it depends on personal luck.

The boss is young and handsome, and you can change to you.This time I drank the wineless red wine mixed chocolate and Qiwei powder (?), And the champagne of the tea base is really delicious ~ The small cup is more valuable and delicate.

Irregularly cooperate with the food and tavern to supply desserts. This time, Madri and Cocolu, which supplies AKA also, is delicious!",0.181,0.019,0.801,0.9587
