評論,評分,發布時間
"裡面氛圍我覺得真的不錯
酒好喝是一大重點
不知不覺就快喝完了 還意猶未盡
老闆人也很好 滿健談的
Shot真的好喝到會哭🥲
帶不太會喝酒的朋友來也不知不覺喝了兩杯
總歸而言 一句超推👍👍",5,9 個月前
"老闆和闆娘好親切熱情！
酒好特別，秘方就不方便透露，保密ㄧ下😁
外面喝不到的口味！
平常不太喝酒的我，原本以為只能喝完一杯，居然ㄧ大杯再加3小杯！
事後也沒起酒疹！！
推推推 ♥️♥️♥️
離捷運過去很近唷！
Zara那得出口👍",5,11 個月前
沒想到隨性踏入的酒吧能有這樣的水平！嘗試各種創新的特調，每一杯都好愛😍Q9小胖必須推～ …,5,1 年前
尊絕版真的是太划算了啦，暢飲酒單有這麼多種選擇，而且酒精濃度跟口味都能客製化，推推👍👍 …,5,3 年前
東區最棒的暢飲吧，Bartender超nice，非常敬業，很細心，會跟你解釋每個調酒，每杯調酒都很實在，該加的絕對不會少，正宗的調酒，絕對不是喝糖水！ 料好實在，來到這裡可以很放鬆，骰盅、飛鏢，想要玩什麼都有，真的真的大推，一定要常來！,5,5 年前
"這裡是一個可以下班後來喝一杯，放鬆一天疲憊的好地方！

調一杯合適的酒，等一個合適的人，明天見❤️❤️❤️

或許每個人都需要這麼一個環境，並不是貪杯，只享受微醺的滋味，坐下來感受一下微醺的感覺！

好酒莫貪杯，微醺勝買醉！",5,4 年前
老闆人超好的 應該說裡面每個服務員的服務態度都好到讓人想哭 這邊的調酒都超好喝 而且都會確保符合我們胃口才會離開 如果不行還會做客製化服務🥹真的是直接加入愛店口袋名單！！！超級推大家來這裡chill!!!!包場活動在這裡就不會雷的感覺 店員還會找我們玩遊戲好讚好喜歡🤩之後我們婚宴的after party 一定會在這裡辦的❤️❤️😍😍謝謝老闆熱心招待我們🥰🥰之後會再跟你們聯絡預約after party!!! …,5,1 年前
第一次來酒吧真的超讚的！超級好聊天也很喜歡這個氛圍~~~,5,10 個月前
"東區捷運方便的標吧
店長很親切，也很大方招待
還有桌遊能玩太有趣了！
心疼板橋人別去耶誕城",5,2 年前
"老闆很健談 來這邊很開心 不會吵 休閒
有標打 桌遊 環境舒適",5,10 個月前
7D芒果冰茶shot盤很厲害！Bartender很熱情還有遊戲可以玩！贏了還有招待！個人最推尊爵版暢飲因為很划算👍 …,5,2 年前
"氣氛 氛圍很不錯

店長人很好

超推薦的",5,2 年前
"前陣子打算跟朋友去 提前很多天訂位
加賴詢問卻直接已讀我
隔一天我打電話想直接訂位 第一通電話他接起來 我還沒說幾個字他就掛斷 之後再打就變成語音信箱……
過了大概五六個小時 他終於接起來了 並且成功完成訂位 我不爽的情緒才稍稍緩解
但沒想到 到了訂位那天 我們到店門口發現鐵門是拉上的 根本沒開店 後來又再打電話過去 他才說今天沒開 要過幾天才有營業……
耍人也不是這樣子的吧",1,7 個月前
"歡樂暢飲🤩
調酒師還會以個人喜愛的濃度去調整😁 …",5,4 年前
"12/25到店消費，10點前貌似只有老闆跟吧檯服務，點餐講了三次才上菜，前面講兩次，老闆忙不過來又請我回位置就算了。
我沒記錯的話，大概540/盤的炸物拼盤（如圖）實在是讓人不敢恭維，酒因為是暢飲店，就不特別要求了，如果對口味有要求的朋友，可能要三思，怕錢包瘦了，還喝了個寂寞。",1,2 年前
"很早就訂位
結果剛剛人到門口發現沒營業
打電話詢問之下才知道
地震在修繕
完全沒有通知訂位的人不營業的消息
到底？？？？？",1,7 個月前
調酒好喝！服務不錯！東西好吃！下次會再來👍 …,5,2 年前
"服務態度超差
酒杯不小心弄破還要賠300元
也未先告知 餐單上也沒有明顯告知
全省酒吧唯一一間收
2點說要先結帳然後會計要結帳 真有趣
有空的朋友想喝酒放鬆的另找地方吧",1,7 年前
很Low 的氣氛，音樂是一些過時的歌，完全不lounge，我還以為回到10年前，煙味很重， 不知道4.9顆星哪裡來的,1,4 年前
今日服務生小達人超好 也很帥 跟我們玩遊戲也很有趣😻😻😻大推！！ …,5,2 年前
"尊絕版真的大推
從台中特地來的
值得再次回顧的一好酒吧

現場有飛鏢機可以玩樂
而老闆也很nice不需要擔心
暢飲每隻調整自己想要的機酒精厚度
可以喝淡或喝濃
很舒服的氣氛",5,3 年前
"服務生的介紹詳細
服務熱情、回來找回憶的
好店家讚，薯條好吃",5,1 年前
老闆很親切，服務很專業，bartender 的典範。店內氣氛很棒，自己一個人或是團體都很適合。cp值高，愛醉或是愛微醺都適合。,5,6 年前
"炸物好用心
金黃酥脆
豐富 多元
搭配全無限暢飲  大快人心",5,1 年前
暢飲很棒喔 輕鬆的氛圍 場飲店很便宜對學生來說，如果想喝特別調酒記得跟老闆說喔！,5,11 個月前
這邊的bartender 調的都喜歡 推達哥 喝過真的回不去欸 氣氛佳 會常來的,5,1 年前
非常棒的酒吧。尊絕暢飲超划算,5,4 年前
訂位完，不能去也沒通知，想去是因為可以射飛鏢🫠打壞我喝酒的心情了！ …,1,7 個月前
