評論,評分,發布時間
女服務員 很親切 服務很好,5,1 年前
美女服務生們待客都很親切而且服務週到，重點是她們不會一直向客人追討索要請酒（如果要找妹陪聊當然還是要請一杯啦！），客人在這比較不會感受到妹仔請酒的壓力。,4,2 年前
可以請你們店的女服務生還是老闆娘那個送客的音量可以小聲一點嗎  半夜在那邊吵三小 這素質真的很差,1,5 年前
氣氛好，酒便宜（尤其是happy hour)買一送一，重點是老闆美艷大方,5,2 年前
員工親切，酒總類也多，還有飛鏢可玩,5,2 年前
有超正老闆娘，跟一群熱情漂亮的員工，值得一去,5,4 年前
"老闆娘是大美女
非常美式的非常隨性氣氛很足的酒吧
很有男人味",4,8 年前
令人印象非常不好的店 老闆娘會發神經亂批評客人,1,6 年前
氣氛很好的酒吧！爆米花要加胡椒鹽才好吃！極度推薦,5,6 年前
第一次來美式酒吧！,4,4 年前
酒吧氣氛好，10點前180元以下酒買一送一,5,3 年前
和老闆娘，店長多喝几杯 她就請你喝酒了,5,5 年前
很棒的地方，大家都很和善，很舒服很棒的場所,5,1 年前
寂寞的酒鬼們，這是好地方，不用酒店那麼貴,5,4 年前
9:00錢到買一送一,5,1 年前
酒便宜，不是熟客容易被當空氣,3,2 年前
店家只招呼熟客   一般客人會被當作是空氣,2,6 年前
服務好，是下班喝酒聊天的好地方,4,6 年前
十幾年的客人，該給的沒少過！,1,5 年前
氣氛不錯  但妹子短缺,3,2 年前
是個喝酒看運動比賽地方,4,5 年前
氣氛好，放鬆的好地方。,5,6 年前
小酌放鬆的好地方,5,3 年前
氛圍不錯,4,3 年前
親切溫馨，可以打鏢,4,4 年前
燈光美氣氛佳,5,5 年前
破酒吧貴的要死,1,2 年前
老闆熱情 東西好吃,4,5 年前
習慣在這兒喝！,5,7 年前
很放鬆的地方,4,3 年前
還沒去過,5,9 年前
還行,3,3 年前
糟糕透頂,5,1 年前
氣氛佳,4,4 年前
服務親切,4,2 年前
優質酒吧！,5,5 年前
親切,5,6 年前
舊舊的,3,6 年前
度過一個有趣的夜晚的好地方。  老闆和工作人員都很好。  只是有點舊需要改造。,4,6 年前
"另一個酒吧
裡面沒什麼特別的
即使冬天冷氣也很冷，我把外套放在裡面。
剛好適合 1 杯飲料",3,4 年前
友善的地方，可以閒逛，喝杯啤酒，但因為煙燻味太重而扣了一顆星。,4,3 年前
喝酒聊天好所在,5,1 年前
氣氛很好，舒適，放鬆,4,5 年前
好朋友的店~👍 …,4,5 年前
妹子多。哈哈,5,2 年前
喝酒聊天的好地方,5,6 年前
是和任哥一起去的嗎！,5,6 年前
Cp值高,5,7 年前
很棒的地方,5,6 年前
不錯的聚會場所,5,7 年前
對吸煙者有好處,3,5 年前
棒棒,5,4 年前
有趣,4,7 年前
寒意,5,4 年前
不錯的談話酒吧,5,5 年前
,3,3 個月前
,5,5 個月前
,5,6 個月前
,5,10 個月前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,3,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,2 年前
,5,2 年前
,4,2 年前
,4,2 年前
,4,2 年前
,5,3 年前
,5,3 年前
,5,3 年前
,4,3 年前
,5,3 年前
,5,3 年前
,5,3 年前
,3,3 年前
,5,3 年前
,4,3 年前
,5,3 年前
,4,3 年前
,5,3 年前
,5,4 年前
,5,4 年前
,4,4 年前
,5,4 年前
,3,4 年前
,5,4 年前
,3,4 年前
,5,4 年前
,1,5 年前
,5,5 年前
,5,5 年前
,2,5 年前
,4,5 年前
,5,5 年前
,1,5 年前
,4,5 年前
,5,5 年前
,4,5 年前
,4,5 年前
,3,5 年前
,5,5 年前
,4,6 年前
,3,6 年前
,5,6 年前
,5,6 年前
,1,6 年前
,5,6 年前
,5,6 年前
,5,6 年前
,4,6 年前
,3,6 年前
,4,6 年前
,4,6 年前
,4,6 年前
,5,6 年前
,4,6 年前
,2,6 年前
,5,7 年前
,5,7 年前
,4,7 年前
,5,7 年前
,5,7 年前
,3,7 年前
,1,7 年前
,4,7 年前
,5,10 年前
,5,11 年前
