評論,評分,發布時間
"奉勸大家！
去這酒吧 沒事的話最好不要拿出手機拍照：）
因為在DJ台上方的燈是使用功率很強的雷射光！！我和朋友的手機鏡頭都遭殃 出現「紫斑」🥲 之前去其他酒吧/夜店也有舞台燈效，就算拍照也沒造成這樣的鏡頭損壞，沒想到第一次去bar24就這樣不愉快

最後給店家建議：
1. 更換雷射燈 / 降低其功率
2. 若無法做到第一點的話，可以在客人入場前給特意提醒：舞台雷射燈有致手機鏡頭損壞的風險",1,6 個月前
"安管很刁難人！
11/3 00:00左右
我左手已經有un手環 兩張證件的給他了 銀行卡兩張簽名也是我的名字
安管還問「你要怎麼證明這是你？」「因為真的長得太不像了。」
要不是朋友的演出
根本不會想來消費。",1,4 週前
"之前為了看一場表演特地前往，現場本身雷射光極強，然後現場也完全沒提醒拍攝會損害鏡頭，拍攝完後導致當天手機直接感光元件被雷射光照壞？後來拍攝畫面都會一直出現大片紅點（真的不誇張，手機拍照畫面如圖），拿手機去維修，維修費非常貴⋯為了開心十分鐘，花掉了一大筆維修費真的不值，心情也很糟糕🙄
去了一二十次其他家夜店酒吧，一樣會拿出手機拍攝表演，但也沒發生鏡頭壞掉問題，不知道店家當初在設計舞台，有沒有想過雷射光太誇張這個問題，把客人手機鏡頭照射壞掉又該怎麼辦，總之以後沒事大概不會想再來這家店了，整個大負評🙃",1,4 個月前
"適合聊天小酌的好地方，音樂大小適中，環境舒適令人放鬆，桌子還可以充電🔋拯救了快沒電的手機🤣好多漂亮的女生耶～😍😍😍
已收藏！以後要聊天更新狀況的聚會場合➕1",5,3 個月前
"調酒好喝❤️
Bartender 幽默風趣
環境氛圍很好，不會太吵太鬧騰😊 …",5,1 年前
"氣氛佳 服務人員態度非常好
原本擔心像評論裡煙味重 但去之後發現根本沒有的事請教信義區 有哪一間酒吧或夜店出來是香的😊😊😊但至於雷射光損壞鏡頭的那幾個評論 不予置評",5,3 個月前
"如果可以打零顆星，真想打零顆星
為什麼現在還會有店整間都是菸味的問題？？？而且還是超濃的那種，包廂的煙灰缸都直接放在桌上，到底是怎樣
都不用考慮到不抽菸的客人嗎
政府不是有規定夜店酒吧都不能室內抽菸了嗎？完全也沒看到任何專屬吸菸區的地方
可以不要做犯法的事嗎
反正都僥倖、沒證據，當真的去查的時候，都嘛叫客人不要抽，查完立馬放人繼續抽，根本沒有用",1,4 個月前
不是老煙槍別去。女生們去之前想想你的秀髮，那個噁心氣味洗過三四次都還去不掉。,1,3 個月前
"酒很好喝、服務人員也很親切
平日安靜質感，氣氛舒服適合聊天
週末氛圍完全不同！好熱鬧好High！！",5,3 個月前
環境氛圍好，放得音樂也是我喜歡的，店家服務周到，適合跟朋友聚會放鬆的地方，會再回訪的,5,3 個月前
來參加富邦angels的活動，這間酒吧的氣氛很不錯，環境很棒，大家可以來喝酒,5,4 個月前
