評論,評分,發布時間
環境舒服，店員專業且親切。推薦的酒款非常喜歡，甜點蘋果巴斯克蛋糕也是十分驚艷，店內還有小卡介紹酒款十分可愛，會再回訪。,5,1 週前
氣氛舒適，不管是一個人或三兩好友一起來都很適合。推薦的葡萄酒風味非常豐富，陪酒的拼盤也很有巧思。店內書架上有很多介紹葡萄酒的書，可以感覺得出店家推廣葡萄酒文化的用心。,5,3 個月前
"燈光空間氣氛佳，非常適合親朋好友小酌聚餐。
巴斯克吃起來也相當不錯好吃 非常推薦！
店家也非常專業的介紹各式各樣有趣且沒看過的酒真的很厲害的知識。
喝起來的感覺也相當的濃韻 氣味香甜
值得推薦的小酌聚餐店家",5,2 週前
氛圍好，餐點品質佳，服務態度好很專業 介紹的都很詳細，也是一個很適合放鬆的好地方👍🏻👍🏻👍🏻,5,2 週前
"有不少西班牙的酒，非常有趣，精挑細選的單杯酒，還有套組活動可以一次品嚐多款葡萄酒。
餐點也滿好吃的，值得一去然後放鬆心情的地方。",5,8 個月前
店面整潔、悠適安靜，除了一般座位也有包廂，可以小群聚會或辦活動，店內也進了很多酒，也有鹹食可以搭配，店員介紹、服務都很棒，整體來說是個想喝紅白酒類很推薦的地方。,5,6 個月前
"超級美麗的天氣，從石牌捷運站散步
走過來店裡，很棒的日光浴

5／29五月底了
趁著瑪娃颱風還沒到之前
第一次過來深杯子嚐鮮
套組$1000特別的經歷
60ccx5（+1）
猜中了最後第五杯驚喜酒款，加送一杯（隨機酒品）
+再單點一杯

服務非常好，
每一支酒，都會有清楚的介紹
……悠閒的下午
期待再找時間回訪
佐酒餐點：💘
特選西班牙饕客肉盤+地中海舒肥雞胸沙拉",5,1 年前
"每個月有超棒的套組讓品酒初學者嘗試各種西班牙美酒～～( ´ ▽ ` )ﾉ
但只營業到晚上十點嗚嗚美中不足！",5,5 個月前
下班和同事一起小酌，氣氛很棒很舒服,5,1 週前
喜歡這裡的顏色和氣氛，雅致但不拘束，放鬆但不鬆散，服務生和侍酒師都很親切專業！點了一瓶美麗的西班牙酒，享受難得的假日來！,5,7 個月前
深杯子是個輕鬆居家又可以中午就喝到酒的好地方～老闆介紹的酒都很有趣,5,6 個月前
"品酒的好地方～環境好美、非常有設計感，店員很認真介紹每杯酒，當天點1000元可以品嚐5杯酒，還有盲杯測試，答對可以再多1杯，真的很划算！！
餐點牛肉丸、拼盤、雞肉都好吃，下次還會再來！許願營業時間可以再晚一些，21:00關門有點早🥲 …",5,1 年前
非常棒的葡萄酒吧！如果我住在附近，會很常去：）空間舒服、酒類選擇偏自然酒款，也有來自罕見酒區的款式，配酒的小點心也很讓人滿意。我當天選擇了1000元的套餐，蠻好玩的，也試了五種不同酒款。很喜歡這間店，希望他們可以永續經營下去。,5,1 年前
最愛店裡氣氛和裝潢，異國風情濃厚，本來就喜歡他們家的橄欖油，沒想到店裡還有提供手沖咖啡，除了專業的酒品介紹和親切服務的店員，我可以在這個空間享受😎輕鬆的下午時光。,5,1 年前
"運動路過超夢幻仙女店❤️被肉桂蘋果給吸引過來～巴斯克起士超濃郁的！蘋果也是超大塊還有酒入味，這蛋糕太棒了👏意猶未盡

搭配西班牙粉紅酒真的超級粉紅泡泡的🫧單寧味不太重dry but not sweet , très bon !

這個夜晚完美了✌️可惜他們只開到十點…十點不是才是該開喝的時間表吧！

環境細節都非常到位，空間座位不多，老闆本身是酒代理商很用心，還有提供酒品小卡～感受到老闆的用心！店員也非常暖男❤️整體讓人想賴著不走啊😘

會一直來支持的！請繼續保持下去",5,1 年前
真的很棒，店內氛圍很好，餐點味道很到位，套組酒選的很棒，尤其後面猜酒環節很有趣,5,8 個月前
"【立志成為Google嚮導大神】
產品/價格：⭐️⭐️⭐️⭐️⭐️
服務/態度：⭐️⭐️⭐️⭐️⭐️
速度/節奏：⭐️⭐️⭐️⭐️⭐️
環境/衛生：⭐️⭐️⭐️⭐️⭐️
品質/喜好：⭐️⭐️⭐️⭐️⭐️
———————————————
整體/評價：⭐️⭐️⭐️⭐️⭐️

◾️

消費原因：品酒會
口袋名單：錄取
消費價格：600-2400
消費項目：紅酒數杯、雞肝醬佐麵包、沙丁魚堅果沙拉、西班牙饕客肉盤、現切伊比利火腿、鴨油薯條、蟹肉薯泥佐麵包

個人感想：專業人士服務詳細

參加品酒會，從三點喝到八點，還好結束後有供應餐點立馬買來吃，果真不虛此行。

推薦菜色：
〈雞肝醬佐麵包〉
雞肝醬像奶油一樣滑順，搭配香脆的法國麵包，良好的味覺享受。搭配白酒紅酒都可以。

〈西班牙饕客肉盤〉
有堅果、火腿、起士，多樣化可以享受舌尖上的美味，適合配紅酒。

〈沙丁魚堅果沙拉〉
沙丁魚的味道就像三文魚，適合搭配白酒。

◾️

嚮導大神志向：
好店需要宣傳與支持，
壞店需要改錯與進步，
市場才會越來越興旺。

評價並非毀滅性武器 ，
而是一把修改的剪刀，
修去壞枝便留下美好。",5,2 年前
"這裡的裝潢設計得非常好，整體環境非常舒適，是小酌與談天的絕佳場所。

確實，這裡有鄰桌的談話聲，不會過於安靜，但這也是帶來安全感的部分，不會因為過於安靜，而不敢用正常舒適的聲量說話，也不怕跟同桌的談話內容被聽見，恰到好處。

我選擇的是一次可以品嚐五杯不同酒的精選漫遊套組，很慶幸在四月的尾巴趕上四月設計的精選套組菜單，我非常滿意。除了紙本上的介紹，每上一杯，店裡的夥伴都會很仔細地介紹這支酒的產地、風土、特色、氣味、口感等，讓整個體驗相當豐富趣味。

但除了紅白酒之外，這裡的調酒也是非常地好，是在喝下去瞬間會讓人眼睛為之一亮的風味，同時也準備了別具心裁地器具。點心與餐點，除了好吃在搭配上也非常合適，能夠體會到他們的用心。整體而言，來這裡是一件讓人非常愉快的事情！

未來想要每個月都來追一次精選套組，嚐嚐每個月精心設計的酒單。

（雖然發表任何評論，可以換一杯酒，但我是真心推薦與分享，為求公允，我選擇不換~）",5,1 年前
"原本是參加客座牛肉麵才知道這家店，但一試成主顧。

選酒不錯且價格是日常品飲可接受的範圍，也有一些精選的佳釀供想嘗試更多不同酒款的人士挑選，現場定番的甜點好吃，會想再來好好喝一杯配下酒美食。",5,1 年前
"隱身石牌巷弄內的深杯子，是一個不入內絕對不曉得有多驚豔的好地方。
不僅是精挑細選的葡萄酒、搭配餐點，店員的用心且專業服務更是讓人記憶深刻。",5,2 年前
"很棒的一家店，一進門就是燈光美氣氛佳的氛圍，酒款很多，喜歡一次品嚐多種酒款的楠哥選了套裝組共有5杯，每上一杯侍酒師就會很專業的介紹這支酒的特色，比起自己用vivino掃描有趣多了

除了好酒外下酒菜的滋味也是一絕，法國麵包淋少許橄欖油搭上杏桃醬/西班牙蛋餅/多種的起司和堅果，單吃就是好滋味搭配上不同的酒更是美味升級，很讚的體驗，推薦和我一樣喜愛西班牙美酒的人一定要來嚐嚐喔！",5,2 年前
好吃好喝又好玩，習得很多酒知識,5,3 個月前
氣氛不錯，玩味驚喜酒可以嘗試一下，可以認真品酒一下～,5,4 個月前
小點及沙拉美味，麵包外Q內軟，搭配初榨橄欖油，真的是一絕，飲料也是一時之選。這是一家有深度的店，可以再來朝聖。,5,2 年前
氣氛輕鬆，人員親切，進了很多西班牙產地的酒，很適合來這裡喝酒聊天,5,1 年前
"-和一樣是紅酒🍷初體驗的朋友兩人在下雨的夜晚來訪，想嘗試各種口味所以選擇精選漫遊套組，最後還有小遊戲！喝完酒款猜年份或品種，店員超好還給選項🥹猜對再送隨機單杯酒！
-店員非常詳細介紹各種紅酒～店內也有各種酒類小卡可以索取！
-空間佈置讓人可以沉浸喝紅酒的氛圍中！ …",5,2 年前
"隱藏在石牌巷弄內的專業餐酒館
非常棒的用餐體驗！
老闆及員工對於紅酒及餐點都非常專業
環境舒適、紅酒、餐點非常美味",5,2 個月前
"很多不同的單杯紅白酒可以選擇😋
今天喝帶有一點鹹味的白酒～
另外也有無酒精的樹里歐葡萄汁可以選擇
雞肉舒肥沙拉也和推薦喔 …",5,2 年前
"紅酒種類多元也有白酒、橘酒
環境相當舒適，裝潢風格很網美
非常適合閨蜜、情侶約會的好地方！",5,2 年前
酒很好喝，服務態度讚！,5,5 個月前
Sang de Drac2015 聞之淡淡的梅子味🥰 ； 洞穴般的空間 心情隨之沉澱放鬆 ； 溫柔得介紹 葡萄酒 十分繽紛有趣  ~(˘▾˘~) …,5,1 年前
"在深杯子概念店裡享受濃厚的異國情調，彷彿自己也融入了每個角落，細細品味手上的酒、音樂、氛圍；店主引進西班牙小農酒莊的酒款，單杯選擇也豐富多樣，一個人品飲也很自在舒適的地方。 重點總結 ""酒好喝、很好拍照的地方""",5,3 年前
適合姐妹淘約會好地方，餐點好吃，酒品種類多，推一個,5,9 個月前
"位於北投巷弄中的可愛小店，店內採用大量的粉色，讓人有著輕鬆的心情能夠喝酒，店內提供輕食以及許多葡萄酒。
食物的部分比較可惜沒有熱食，習慣吃熱食的朋友可能要先去附近吃完才能過來喝，這邊的食物幾乎都是拿來搭酒的，生火腿價格親民，不過還是想要吃更好吃的生火腿😂
深杯子的葡萄酒，有很多都是自然酒，喜歡喝自然酒的朋友一定要來這邊，款式很多，從紅酒白酒氣泡酒到雪利酒都有提供，價格也是相當親民，是一間輕鬆的店。 …",5,3 年前
"Less is more. 簡單舒適的空間，美味的Tapas和豐富多樣的酒款。天氣舒服的晚上，來跟老公喝一杯
非常享受這家讓我回味起歐洲的小酒館",5,2 年前
氣氛頗優的約會去處，店員用心的介紹酒類及特色，甜點也不馬乎驚艷好好吃🤤 …,5,1 年前
氣氛很好！環境很舒服～～～有很多酒款！伊比利豬超好吃❤️ 石牌之光！！！,5,2 年前
氣氛棒、白酒很好喝，尤其是風乾伊比利火腿佐起司奶醬蔬菜，烤蔬菜油香味非常豐富，彷彿在嘴巴裏跳華爾滋～非常推薦👍🏻,5,1 年前
"酒品跟餐飲的選擇都很用心，專注在西班牙的自然酒，我當天還嘗試了台灣產的山胡椒熟成火腿，風味跟油脂搭配紅酒令人印象深刻。

服務人員的態度跟專業也是亮點，讓這個在住宅區裡獨一無二的紅酒吧更平易近人。

很喜歡深杯子「輕鬆喝」的理念，讓紅白酒更貼近每一天的生活。",5,2 年前
"溫馨明亮舒適的地方，也有提供非酒精的飲品，是適合與朋友聚會也很適合獨自前往的地方。

推薦每月精選套組，小點也都很好吃！然後店員親切又很會介紹，可以多跟他們聊聊喔☺️",5,2 年前
很有質感的風格適合微醺，今天我點了3月的卡本內之父表現非常棒，再搭配綠胡椒風乾香腸跟特製雞肝醬佐法式麵包味蕾要升天了,5,1 年前
"燈光氣氛好
Tapas配紅白酒都很棒
店員也都很耐心介紹
期待新店計畫😊 …",5,2 年前
"空間很舒服，餐點拼盤品質佳！
最重要的是店員都很專業親切的
介紹說明酒款！很推薦",5,2 年前
"老闆娘熱情！
店裡環境很溫暖❤
很令人放鬆！
適合閒聊的一家店！
自然酒風味濃厚，令人一飲再飲",5,2 年前
"一個很適合喝下午酒的店家
雖然我們是下班去喝的
店家很用心也很專業
餐酒都相當的有水準
日後有機會會再訪
祝店家營運順利☺️",5,3 年前
"12月限定《Stollen 史多倫蛋糕與熱紅酒》$350/份；天涼涼的午後一杯熱紅酒，真的很開心附近有這樣的店❤️

Stollen 史多倫蛋糕很好吃，口味甜美非常紮實；熱紅酒順口！",5,1 年前
"很有氣氛的小店 專賣西班牙酒款
對酒的介紹很詳細 當天喝到的紅酒白酒也非常有特色好喝 搭配的食物也好吃
是個很棒的體驗",5,2 年前
"老闆的葡萄酒知識背景加上空間的細緻設計，從門口、廁所到小包廂，每個角落都有自己的故事。
磚橘色的牆面營造溫暖、有置身歐洲的感覺。
情侶可以選窗邊座位約會，可以是幾個朋友，獨身前往也不尷尬的一間店！",5,3 年前
"聖誕節和朋友來這小酌🍷
氣氛很棒，酒和餐點都很不錯！
今天有訂到包廂，一群人在這很開心，值得回訪！ …",5,2 年前
