Bar,Average_Positive,Average_Negative,Average_Neutral,Average_Compound,Processed_Bar,店名,評分,評論數,地址,鏈接,Processed_Store,_merge
ABV Bar & Kitchen 加勒比海餐酒館 台北忠孝店 大安區美食 大安區餐酒館 異國料理烤肉｜中南美洲菜｜聚餐宵夜包場｜精釀啤酒餐廳,0.2792592592592592,0.0142564102564102,0.7064814814814815,0.6891851851851851,abvbarkitchen加勒比海餐酒館台北忠孝店大安區美食大安區餐酒館異國料理烤肉中南美洲菜聚餐宵夜包場精釀啤酒餐廳,,,,,,,left_only
,,,,,,HarborEast 寮,5,1,"No. 58, 仙岩路文山區台北市116",https://www.google.com/maps/place/HarborEast+%E5%AF%AE/data=!4m7!3m6!1s0x3442ab004cae0509:0x5908edb83d6c9abd!8m2!3d24.9994772!4d121.5498679!16s%2Fg%2F11vm7gs3t4!19sChIJCQWuTACrQjQRvZpsPbjtCFk?authuser=0&hl=zh-TW&rclk=1,harboreast寮,right_only
LAX 慵懶 貓空景觀餐廳 求婚告白 遠眺101 品茶喝茶 寵物友善 聚餐包場 婚禮,0.3631475409836066,0.020839344262295,0.6160098360655737,0.6781629508196722,lax慵懶貓空景觀餐廳求婚告白遠眺101品茶喝茶寵物友善聚餐包場婚禮,,,,,,,left_only
,,,,,,Lily 黃氣球酒吧,3.9 47 則評論,3.9 顆星 47,116台北市文山區興隆路三段185巷3弄4號,https://www.google.com/maps/place/Lily+%E9%BB%83%E6%B0%A3%E7%90%83%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442abb2b9ce3275:0xb7451b784324eb5!8m2!3d24.995721!4d121.560891!16s%2Fg%2F11t3gdb_bb!19sChIJdTLOubKrQjQRtU4yhLdRdAs?authuser=0&hl=zh-TW&rclk=1,lily黃氣球酒吧,right_only
SHANN SHANN 小香 台北三越信義店,0.298410909090909,0.016890909090909,0.6847018181818182,0.561485090909091,shannshann小香台北三越信義店,,,,,,,left_only
,,,,,,云朵咖啡,5,1,116台北市文山區興隆路四段105巷52號1 樓,https://www.google.com/maps/place/%E4%BA%91%E6%9C%B5%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3442ab96c295572b:0xd32093d764d16108!8m2!3d24.987369!4d121.562222!16s%2Fg%2F11v0z1z84b!19sChIJK1eVwparQjQRCGHRZNeTINM?authuser=0&hl=zh-TW&rclk=1,云朵咖啡,right_only
夜明珠卡拉OK,0.3325853658536585,0.0509756097560975,0.6164390243902439,0.4134317073170732,夜明珠卡拉ok,,,,,,,left_only
夜樂小吃部附設卡拉OK,0.3976111111111111,0.0118333333333333,0.5905555555555556,0.3018111111111111,夜樂小吃部附設卡拉ok,,,,,,,left_only
,,,,,,小酌串烤,4.4,130,116台北市文山區木新路二段127號,https://www.google.com/maps/place/%E5%B0%8F%E9%85%8C%E4%B8%B2%E7%83%A4/data=!4m7!3m6!1s0x3442abfcd7403bb7:0xf43d91d7fc301426!8m2!3d24.9840398!4d121.5694578!16s%2Fg%2F11q95d18_2!19sChIJtztA1_yrQjQRJhQw_NeRPfQ?authuser=0&hl=zh-TW&rclk=1,小酌串烤,right_only
徙巷小餐酒 The Who Bistro／家庭式／情侶約會／小酌／聚餐／尾牙包場／公司聚餐,0.251228855721393,0.0288407960199005,0.7199452736318408,0.7181835820895521,徙巷小餐酒thewhobistro家庭式情侶約會小酌聚餐尾牙包場公司聚餐,,,,,,,left_only
獅子王KTV,0.2632787456445993,0.0516759581881533,0.6850731707317073,0.225391637630662,獅子王ktv,,,,,,,left_only
琴海卡啦ok,0.3754074074074073,0.0256666666666666,0.598962962962963,0.3983555555555556,琴海卡啦ok,,,,,,,left_only
