Bar,Average_Compound,評分
ART BAR 藝術家的酒吧,0.6390193548387095,5.0
Kahu Craft Beer Garden - 精釀啤酒花園,0.6454932642487046,4.5
NO.4 STATION,0.6105918604651163,4.8
WXYZ酒吧,0.495677358490566,4.2
喝一杯小酒．串燒料理,0.5609416666666666,4.8
子女居酒屋,0.6945498084291188,4.7
山茶花間 cafe & bistro,0.6824598130841121,4.8
布根地酒坊,0.4174857142857143,3.9
新北投飲酒店，原快樂坊,0.3219277777777777,3.6
日勝生加賀屋‧夕月BAR,0.73851,5.0
有木友咖啡吧,0.6108492957746477,5.0
深杯子概念店 La Copa Oscura,0.6787379746835444,4.9
藏馬居酒屋,0.6923543378995434,4.8
酒菜檔,0.697658695652174,4.9
雙溪碼頭河岸酒吧,0.5158,5.0
