Bar,Average_Compound,評分
4024,0.4290879999999999,4.7
ABLE音樂坊茶酒館,0.5329359375,4.7
Aki matcha bar,0.7457269938650307,4.8
Ale Music Bar & Bistro,0.36439,4.7
AZtec,0.5728581560283688,4.9
Bar DAD,0.5821877777777777,5
BOBEEB ｜Mocktail Cafe Bar & Desserts 士林夜市,0.5518642857142858,4.7
Dobar 士林,0.7392673684210527,4.9
ESV Bistro,0.7020652777777777,4.9
Fiesta Restaurant & Bar,0.5404975862068966,4.1
FirePlay Taipei,0.6597356,4.6
Green Door（綠門）LoungeBar,0.3493507246376812,4.2
HangOut Cocktail Bar,0.5756741071428573,4.6
INFINITY .Yes Lounge,0.6382870466321244,4.7
Irene's Lounge,0.3569182795698924,3.8
JAMEI CHEN ‧ 另空間 Dialogue,0.4056073170731707,4.1
Lili,0.4558128787878788,4
Mio Vino Wine & Cookie,0.7945769230769232,5
Modism Muses 摩德年代繆斯餐酒館,0.6764326693227092,4.1
modism muses 繆斯餐酒館,0.9411333333333332,3.7
Noobtent菜鳥營地,0.6215934931506849,4.8
Patio Gourmet Burgers & Craft Beer,0.495525,4.3
Quench Bar,0.504673076923077,4.9
R bar 逸庭,0.6020194285714285,4.6
Sea Cup Island 美式餐酒館 Bistro & Bar（寵物友善餐廳_酒吧推薦_士林酒吧_包場慶生聚會餐廳）,0.65541452991453,4.6
Simplebar 簡單吧。,0.6210200000000001,4.6
The Lasagna Bar 千層吧(天母店),0.5991657303370787,4.4
The Pita Bar Taipei,0.5741209677419356,4.5
TimeBeer 士林店,0.0,5
wake up bar 酒吧,0.7306268656716418,4.9
Wine Dot 酒點葡萄酒專賣,0.7043631578947369,5
Wonder.land 仙境,0.6637041237113402,4.1
YMD.cocktail,0.591480198019802,5
Zcat Bar 天母酒吧_士林酒吧_必吃餐酒館_網美餐酒館_音樂酒吧_運動酒吧,0.7158555555555555,4.7
五二Bar&Bistro 餐酒館,0.5136825,4.5
光隱 INROOM,0.6411316666666667,4.6
嗜酒,0.524990625,4.6
士林放感情｜ 士林餐酒館 人氣美食 酒吧推薦 士林調酒 BAR 網美必吃 西式餐酒館 宵夜美食餐廳 聚餐聚會酒吧 士林夜市,0.6363063218390805,4.8
多桑串燒居酒屋,0.4758014563106796,4
夜色CLUB,0.5232857142857142,4.7
大俠請留步,0.6197560117302052,4.8
大村武串燒居酒屋-士林店,0.5955766016713092,4.8
大鶴青田 炭火居酒屋 士林店-Orion暢飲中,0.5922640926640925,4.8
好吧,0.5715355072463768,4.8
早吧 Morning Bar,0.5127445086705202,4.5
晁日Creative panini,0.6580106060606059,4.6
月里小酌 串燒居酒屋,0.668472602739726,4.8
朝 asa,0.4202259259259259,4
柒息地串燒居酒屋士林店,0.5727852777777778,4.9
榕 RON,0.5691450310559006,4.3
比酒嗜啡 Bidwine,0.342575,4.1
洋房,0.4002833333333333,4.1
浪漫印象 Live Music Brunch_Bar (現場音樂 早午餐_酒吧),0.8353571428571429,5
渣男Taiwan Bistro《天母八渣》,0.5654062130177515,4.8
紅蕃海鮮啤酒屋,0.4440068421052631,4.2
蔦燒日式居酒屋-士林店,0.5976974921630094,4.8
託夢玩具Bar .士林必去酒吧 (老玩具 .調酒 啤酒 ）,0.5651301310043668,4.9
追夢人迪斯可｜士林,0.7047143540669857,4.9
醉痞廚房,0.6092236842105264,4.7
醺Two British Bar,0.5932742857142858,4.8
金手套Golden’s Bar _ 老美式酒吧,0.5504175438596491,4.9
餓酒餐酒館,0.7232783505154637,4.9
馨亞 Le Jardin,0.5802306818181818,4.6
