Bar,Average_Positive,Average_Negative,Average_Neutral,Average_Compound,Processed_Bar,店名,評分,評論數,地址,鏈接,Processed_Store,_merge
215歐廚,0.2808881118881119,0.0226293706293706,0.6964895104895105,0.5577188811188812,215歐廚,,,,,,,left_only
222歌坊,0.1695,0.0375,0.7929999999999999,0.42195,222歌坊,,,,,,,left_only
Barbee卡啦炸雞專賣店,0.2694594594594594,0.0214594594594594,0.7090540540540541,0.5045486486486486,barbee卡啦炸雞專賣店,,,,,,,left_only
SHANN SHANN 小香 台北三越信義店,0.1897833333333333,0.0318666666666666,0.7783666666666668,0.6556116666666667,shannshann小香台北三越信義店,,,,,,,left_only
Skyline Soirée,0.3844444444444444,0.0,0.6155555555555555,0.7644444444444445,skylinesoiree,,,,,,,left_only
,,,,,,Skyline Soirée,5,13,114台北市內湖區洲子街78號3F,https://www.google.com/maps/place/Skyline+Soir%C3%A9e/data=!4m7!3m6!1s0x3442ad001f4338c5:0xbfabb7b5c014a689!8m2!3d25.0795712!4d121.5718553!16s%2Fg%2F11y2n0m2ch!19sChIJxThDHwCtQjQRiaYUwLW3q78?authuser=0&hl=zh-TW&rclk=1,skylinesoirée,right_only
,,,,,,STAND cafébar內湖行善門市,5,2,114台北市內湖區行善路168巷17-1號,https://www.google.com/maps/place/STAND+caf%C3%A9bar%E5%85%A7%E6%B9%96%E8%A1%8C%E5%96%84%E9%96%80%E5%B8%82/data=!4m7!3m6!1s0x3442abb5c020195d:0x9628151ab15b25af!8m2!3d25.0588916!4d121.5787456!16s%2Fg%2F11tjds71lq!19sChIJXRkgwLWrQjQRryVbsRoVKJY?authuser=0&hl=zh-TW&rclk=1,standcafébar內湖行善門市,right_only
TIECAFE（不定期店休&精釀啤酒、4人以上恕不招待，無訂位),0.2731142857142857,0.0180142857142857,0.7088666666666668,0.6187657142857143,tiecafe不定期店休精釀啤酒4人以上恕不招待無訂位,,,,,,,left_only
,,,,,,Yuki’s house,5.0 13 則評論,5.0 顆星 13,114台北市內湖區麗山街,https://www.google.com/maps/place/Yuki%E2%80%99s+house/data=!4m7!3m6!1s0x3442ad00395ef113:0xc02e686f3e9ac424!8m2!3d25.0750326!4d121.5750043!16s%2Fg%2F11y29ykqjb!19sChIJE_FeOQCtQjQRJMSaPm9oLsA?authuser=0&hl=zh-TW&rclk=1,yukishouse,right_only
亞運撞球飛鏢旗艦館,0.2619076923076923,0.0490923076923077,0.6890153846153847,0.3852415384615384,亞運撞球飛鏢旗艦館,,,,,,,left_only
呼卡商行 Hookah Daddy Shisha Lounge シーシャラウンジ Taipei 大直旗艦店,0.3595769230769231,0.0191758241758241,0.6212362637362637,0.5681675824175825,呼卡商行hookahdaddyshishaloungeシーシャラウンシtaipei大直旗艦店,,,,,,,left_only
,,,,,,呼卡商行 Hookah Daddy Shisha Lounge シーシャラウンジ Taipei 大直旗艦店,4.8,267,114台北市內湖區內湖路一段91巷35弄64號,https://www.google.com/maps/place/%E5%91%BC%E5%8D%A1%E5%95%86%E8%A1%8C+Hookah+Daddy+Shisha+Lounge+%E3%82%B7%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%A9%E3%82%A6%E3%83%B3%E3%82%B8+Taipei+%E5%A4%A7%E7%9B%B4%E6%97%97%E8%89%A6%E5%BA%97/data=!4m7!3m6!1s0x3442ad78b1d1a591:0xb738703c8da6f102!8m2!3d25.0869117!4d121.5608653!16s%2Fg%2F11sz2rmcw8!19sChIJkaXRsXitQjQRAvGmjTxwOLc?authuser=0&hl=zh-TW&rclk=1,呼卡商行hookahdaddyshishaloungeシーシャラウンジtaipei大直旗艦店,right_only
,,,,,,品望國際酒業股份有限公司,5,2,"號 2 樓, No. 367新湖二路內湖區台北市114",https://www.google.com/maps/place/%E5%93%81%E6%9C%9B%E5%9C%8B%E9%9A%9B%E9%85%92%E6%A5%AD%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/data=!4m7!3m6!1s0x3442ac8039884371:0x4f37ecf54f836cf8!8m2!3d25.0647668!4d121.5852357!16s%2Fg%2F11b7hjcg33!19sChIJcUOIOYCsQjQR-GyDT_XsN08?authuser=0&hl=zh-TW&rclk=1,品望國際酒業股份有限公司,right_only
奇緣休閒中心(卡拉OK),0.281235294117647,0.0364705882352941,0.6823529411764705,0.3825529411764706,奇緣休閒中心卡拉ok,,,,,,,left_only
好樂迪KTV內湖店,0.1875152838427947,0.0686026200873362,0.7438951965065501,0.244214847161572,好樂迪ktv內湖店,,,,,,,left_only
小後苑Backyard Jr. (大直Dazhi),0.2472610619469026,0.0263938053097345,0.7263451327433628,0.599074778761062,小後苑backyardjr大直dazhi,,,,,,,left_only
星城卡拉,0.263,0.0603999999999999,0.6766,0.48434,星城卡拉,,,,,,,left_only
暫停營業 呼搭啦串燒屋,0.3589404761904762,0.0150674603174603,0.6259920634920635,0.5102261904761904,暫停營業呼搭啦串燒屋,,,,,,,left_only
輪流請客 x GLAMAIR 韓式餐廳 內湖店,0.2245599999999999,0.02267,0.7527866666666667,0.5425206666666667,輪流請客xglamair韓式餐廳內湖店,,,,,,,left_only
轉角私廚（六、日包場制）,0.292,0.0169512195121951,0.6910609756097561,0.5842134146341463,轉角私廚六日包場制,,,,,,,left_only
隧道音樂主題餐廳,0.3404727272727272,0.0516727272727272,0.6078363636363636,0.4130381818181818,隧道音樂主題餐廳,,,,,,,left_only
