Bar,Average_Compound,評分
9th Sense Bar 第酒感 餐酒館｜酒吧,0.7020398058252427,4.5
AKA QUANDO BAR,0.5347833333333334,4.5
Antique Bar 1900,0.6616167597765363,4.9
Bar Emperor,0.6825259615384615,4.6
BarWay,0.7111792207792207,4.9
Bitter Burro Cocktail Bar,0.6555117056856187,4.9
Bookbar1920s,0.5014113636363636,4.6
Book ing 中山店｜中山大同區推薦酒吧、聚餐、約會餐酒館,0.6993021739130435,4.9
Corner Sip 角啜,0.6835086956521738,5.0
dixielane 迪士巷咖啡,0.6471695906432748,4.8
Floating Taipei_漂浮台北,0.4943134615384614,4.4
Hers & His Lounge Bar 她_他,0.6536189075630253,5.0
Intox,0.5662086642599279,4.5
Isotope bar同位素酒吧,0.7301055319148936,4.9
Kuro 庫羅,0.5329599999999999,3.3
Le Wine Bar,0.7011702380952382,5.0
Mikkeller Taipei 米凱樂啤酒吧,0.6202120786516854,4.4
Moonwell Bar&Bistro _ 中山老宅酒吧 人氣餐酒館 調酒酒吧推薦 中山美食餐廳 茶酒地酒 創意料理 約會包場餐酒館,0.6990113636363636,4.8
Nearby Cafe 附近咖啡,0.6324153110047848,4.5
NEON CAFE`& BAR 霓光咖啡&酒吧,0.4191853333333333,3.9
Nowhere Taipei 墨西哥餐酒館,0.7062555891238671,4.9
Salon et Tutu 酴塗小酒館,0.7502895522388059,4.9
SOUL MATE BAR,0.6488884057971014,4.8
Vanish Cafe & Bar,0.5523253333333334,4.6
Vault cafe & Bar,0.677215028901734,4.6
Vin Nature 45 自然埕,0.6688036697247706,4.8
WHISKY LAND 威士忌樂園,0.6821636363636363,4.8
Yoi 酔,0.5613181818181818,4.9
以賽亞 יְשַׁעְיָהוּ Isaiah 咖啡廳 _ 酒吧 _ 餐酒館 _ Coffee&Bar _ 特色冷萃咖啡 _ 風味特調 _ 法式甜點 _ 精緻餐點,0.6718627118644067,4.6
友士酒之庭 USE Sake Garden,0.5840542056074767,4.8
吉姆老爹 台北大稻埕店,0.5681195121951219,4.8
四坪酒吧 Bar Si ping,0.6449720000000001,4.7
家飲 TAKUSYAKU Bistro & Bar,0.6719177083333333,5.0
小城外 Bar CityNorth,0.6175062717770033,4.5
微醺花園Tipsy Garden_餐酒館_酒吧_朋友聚會_約會_宵夜_深夜美食,0.6763067448680352,4.9
微醺花園大稻埕碼頭貨櫃部_約會景點_宵夜_深夜美食_酒吧_餐酒館_,0.662924705882353,4.9
微醺蝦bar,0.62895625,4.9
打鐵町49番地 Party Team Bistro,0.4902779999999999,3.8
新串 New Trend-中山店,0.621187044534413,4.7
星夜Messier 87 bar(位於二樓),0.6724154761904761,4.8
星夜 Starry night Bar,0.6722639639639639,4.7
春風得意,0.6243655172413792,4.5
晉煙所 HIGHER END,0.6426247899159664,4.9
沃森茶酒館 WOSOM _ Teahouse & Bar,0.6123808510638298,4.3
渣男Taiwan Bistro 中山店,0.5532707865168539,4.5
獨樂 DoSake Bistro (2樓的清酒吧）,0.7184821621621622,4.6
獨角落Do Bar（北車店）,0.6917446902654867,4.8
玉露 YORU Bar&Bistro,0.658756923076923,5.0
發琴吧,0.5796732,4.6
窩窩藝文空間 wooo art and cultural space｜展覽｜市集｜講座｜場地租借｜咖啡｜餐飲｜酒吧,0.59945,5.0
立陶宛小酒吧Little-one Bar,0.608723076923077,4.9
蘭引堂,0.4992428571428572,4.9
處方株式會社,0.5713736263736263,4.6
角落小吧 Corner Bar 寧夏夜市020,0.4018695652173913,4.9
遷鳥陳列所-Cafe bar｜台北迪化街咖啡廳｜迪化街酒吧、古董,0.6298261410788382,4.8
酒師傅體驗館,0.5599548387096774,4.7
酒食無雙,0.5239999999999999,4.4
霓裳貓咪酒吧 Cat Bar Palette,0.6219125000000001,5.0
魚塭 Steamy _ 台北調酒吧 寧夏夜市水煙館推薦,0.7279063829787235,5.0
魯蛋茶酒館-迪化,0.505975,4.4
鳴田酒舫 TomorrowWineShop,0.509435294117647,5.0
黑媽台北,0.7275853211009173,5.0
