Bar,Average_Compound,評分
1001 nights taipei 一千零一夜 (水煙館),0.5228299999999999,4.2
115小酒館,0.5265315789473684,4.6
1998練歌房(玖伴)｜串燒 市民大道 居酒屋 餐酒館 熱炒店,0.7781,4.9
56 diner,0.4658666666666666,5.0
8id studio,0.5605909090909091,4.7
an58歐陸小酒館,0.6490792114695341,4.6
bar mood taipei 吧沐,0.6852449567723343,4.4
black bottle,0.6098985294117646,4.7
bn inn 酒坊,0.6254854166666667,4.9
book ing 東區店｜東區推薦酒吧、聚餐、約會餐酒館,0.79985,4.8
bottless 非瓶,0.720414121037464,4.5
cantine marais｜瑪黑餐酒 敦南店,0.7015904605263158,4.5
china pa dining & live music 中國父,0.5807607594936709,4.5
chinatown taipei,0.6112697674418605,4.9
cloud shisha bar （水煙酒吧）,0.6571878787878788,4.8
comingbistro｜台北餐酒館推薦調酒吧,0.7881476923076924,5.0
coya taipei,0.72088,4.8
dancing elephant wine bar 跳舞大象葡萄酒專賣,0.5502361702127659,4.6
draft land,0.5722506024096385,4.6
east end,0.6118188811188812,4.4
enjoy matheson bar享受洋行,0.5983729729729731,4.7
f gallery by a train,0.611840562248996,4.3
fifth floor .伍樓.,0.5266859649122807,4.9
fourplay cuisine,0.6404005882352941,4.3
fulbar,0.6594006211180125,4.9
half cup 半杯,0.7116244094488189,4.9
histoire 隅意,0.6761543352601156,4.8
honn bar 酒吧,0.6845064285714286,4.7
intention,0.7994713888888889,4.9
jn lounge bar,0.6212412698412698,5.0
joker bar & bistro,0.5000826446280993,4.3
juju spanish gastrobar,0.6812281524926687,4.6
kor taipei,0.6410477777777778,4.6
landed,0.7432133333333332,4.9
long island 長島小酒館,0.6899636363636363,4.9
m o. bar,0.6141666666666666,4.5
maybe music bar,0.5505977099236641,4.5
midway,0.6024794117647057,4.7
muu bar 水煙 shisha 酒吧,0.6378559829059829,4.9
muu shisha lab 水煙教學 ｜調酒教學 ｜場地租借(此點為辦公室餐廳在東區),0.81828,5.0
my other place restaurant &bar 我的家餐廳酒吧,0.7892699999999999,4.5
nep. lounge bar,0.5854513071895425,4.4
old leather老皮衣葡萄酒館,0.6715227053140097,4.7
on tap,0.5588497222222222,4.2
originbar 初 ｜大安餐酒館 東區酒吧 法式小酒館 茶酒,0.7322124277456648,4.9
originbar 源 ｜松山區餐酒館 松山酒吧 歐式鄉村酒吧 小巨蛋,0.7808166666666666,4.9
pauses burger bar 暫停漢堡,0.5906089655172414,4.6
posino taipei,0.7041241666666667,5.0
rockers cafe & bar 復古美式咖啡酒吧,0.6036933333333334,4.6
sofa sofar,0.5650826666666666,4.7
step one taipei ｜東區｜水煙｜酒吧｜餐酒館｜調酒｜,0.6470419913419914,5.0
the house taipei 屋內,0.6133305084745765,4.8
tipsy dragon bar,0.7102312500000001,4.8
to infinity & beyond,0.595995744680851,4.5
under lab,0.6248797385620916,4.6
wa-shu 和酒,0.5626270588235295,4.5
waaaa－台北 松山 餐酒館推薦｜特色酒吧｜朋友聚會｜包場服務｜場地租借｜調酒吧,0.6490814049586776,4.8
you&me牛肉麵bar,0.5803760869565218,4.2
一号基地｜台北松山居酒屋｜慶城店 ichigoukichi,0.5394728873239436,4.7
不誤正夜 nightduty taipei,0.6408996621621622,4.8
傷心酒店heartbreak club,0.5133577889447236,4.2
儂萊歌舞卡拉ok,0.2860142857142857,3.9
凝聚力音樂娛樂cohesion space,0.0350539325842696,4.7
凱西雪茄館,0.603012,4.6
創鮨 · 丼飯 壽司 清酒吧,0.7668015,4.9
千層吧,0.6393779999999999,4.6
台北酒驛 turnout taipei,0.595484188034188,4.6
吉比鮮釀餐廳 - 台北敦北店 gba brewery restaurant - taipei dunbei store,0.6124524216524216,4.2
安迪酒藏 chateau andy,0.5493965517241378,4.5
延壽捌伍,0.3997111111111111,5.0
弎樓thirdfloor,0.6675086419753087,4.2
弦音卡拉ok,0.5207727272727273,4.1
拆火車 trainstalling 小酒館,0.505568,4.8
櫥窗 live & restaurant,0.4695133333333334,4.0
派對走掉 酒品信用合作社 partyexit beer shop,0.78514,4.8
渣男 taiwan bistro 敦北三渣,0.5780744985673352,4.7
異塵cellar lounge bar,0.6077018518518519,4.8
祈駑南（cinunan）原住民餐酒館(酒吧）,0.6354713114754099,4.9
莉莎精緻卡拉ok,0.5601700000000001,4.7
西班牙小酒館,0.6574580071174377,4.3
覓 trovin 餐酒館,0.6731017699115044,4.9
角落酒吧the corner one,0.4976539325842696,4.2
貓 嗑睡 cat nap,0.6858673469387755,4.7
貓下去敦北俱樂部,0.6277335365853658,4.1
買酒網 小巨蛋門市,0.4513076271186441,5.0
酒塞子酒坊,0.5461619047619047,4.8
金夫人美式居酒屋,0.4478328947368421,4.0
閑閑餐酒館 yinyin bistro,0.6460967741935484,4.5
青樓中式餐酒館,0.5851115384615384,4.7
ｗonder bar,0.5964331081081081,4.5
