Bar,Average_Compound,評分
Arrow On Darts Club,0.4621918918918919,4.7
Beer李精釀小酒館（酒館 bar craft beer),0.6663506024096386,5
Herbar喝吧柒號殿,0.6200812499999999,4.7
Hold on Draft,0.5719,4
Messa michael tu,-0.028925,1.6
Messe Bistro 魅色時尚,0.0054246153846153,1.7
THE LOUNGE 大廳酒吧-台北六福萬怡酒店,0.5546341968911916,4.5
W9T酒等了・ 臺北流行音樂中心,0.5670132530120482,4.7
串居留居酒屋（南港店）,0.6047652406417113,4.4
島厝 islandhome居酒屋,0.5749193548387097,4.4
布娜飛小酒館南港店bravocafe draftdeer,0.5494384858044163,4.7
愛上日本酒 LOVE&SAKE 瓶蓋店,0.5267701754385965,4.9
武侍酒 日式居酒屋,0.5306683673469388,4.4
涓邸居酒屋,0.4738862244897959,4.2
秘密基地,0.4106393333333333,4
竹村居酒屋（中坡店）,0.5280650000000001,4.2
老司機居酒屋,0.480533502538071,4.2
鶺鴒葡萄酒窖 Wagtail wine cellar,0.5973588235294118,5
