Bar,Average_Compound,評分
98 酒吧,0.2841549019607843,3.3
Ark Taipei,0.5028276595744681,4.4
AWT Bistro下班後餐酒館,0.7049191570881225,4.9
Barchef Taipei _ 西門町酒吧 _ 水煙館 _ 咖哩飯｜台北推薦酒吧,0.6766081632653062,4.9
Bar Stardust 星塵,0.5683509090909091,4.9
BearJunkies熊飲（早午餐＆酒吧）,0.7489951754385964,4.8
Chance Cafe & Bar 無心戒酒互助會 - 成都分會,0.6774700296735905,4.9
Driftwood 西門町,0.6763647222222223,4.6
Drunk Shelter Hanko 西門駐唱酒吧｜特色調酒｜live music｜live band 酒吧｜熱門｜人氣｜必訪｜現場音樂酒吧,0.6276201413427562,4.8
DRUNK Taipei,0.5938464285714284,4.9
G CLUB TAIPEI,0.5568190789473684,4.6
Geography Bar&Restaurant 台灣環島調酒 Taiwan-inspired Cocktails,0.730821111111111,4.8
HANKO 60 如醉如夢,0.6722997222222222,4.8
HEY BRO Bar,0.6655937500000001,5.0
kani kani cafe&bar餐酒館,0.6448136752136752,4.9
Last Order 餐酒館,0.6549012903225806,4.6
Locker Room,0.5685236486486486,4.6
N.one BAR,0.5632276785714286,4.7
Nonsense Bar 無心戒酒互助會 - 武昌分會,0.6870667621776504,4.9
PawBar,0.5783490706319703,4.9
RayDarts.Taipei bar,0.6636126470588236,4.9
RayDarts.Taipei bar,0.6636126470588236,4.9
The 58 Bar,0.578669540229885,4.6
THE BED Ximen,0.4725,4.9
THE garden,0.4099984042553191,4.4
THE HOLE mini bar,0.6155970000000001,5.0
The park J,0.7069188775510205,5.0
Westland Bar&Bistro｜深夜酒吧,0.6077258373205742,4.8
Wishy Lounge Bar 慾室,0.6779245989304812,4.9
冰茶專賣店 Iced Tea Shop,0.6411828571428573,4.8
尖叫 雞翅 Wings & Fries 雞翅酒吧 _ 雞翅吃到飽｜西門餐酒館｜Chicken Wings Beer Bar,0.6647232323232324,5.0
巧軒飲室 CH Draft Room ｜Coffee&Ccocktail BAR｜咖啡廳｜酒吧｜手沖咖啡｜雞尾酒｜無酒精調飲｜啤酒｜私廚｜活動包場｜,0.6145479166666666,4.9
巷內酒吧 x 酒 鬼煙醉,0.6568294701986755,4.9
灰色可樂 創始店(NO.1)Grey Cola Bar,0.4982288590604026,4.9
烏托邦 Utopia Taipei,0.4546852272727273,4.6
無名Bar,0.6265126482213439,4.9
無向 Bar Without Ximen,0.6312645161290323,4.9
燈亮有酒 Light Up Bar 【試營運】【西門．萬華】(酒吧，酒吧推薦，特色酒吧，平價酒吧，調酒),0.6824690909090909,4.9
竹Ta.ke 九龍灣會館 kowloonbay Shisha,0.79715,4.8
老城西。酒食製作所,0.7161831275720163,4.9
解鎖 JOYSOUL Bar,0.6465524390243902,4.8
追夢人DISCO｜西門,0.558456393442623,4.9
酒咖飲冰室 JIU KA Bistro & Bar,0.7056380281690141,4.8
酒肆西門 Ximen Beer Bar - 西門町酒吧 ｜台北酒吧推薦 Taipei Bar _ Craft Beer _ Whisky _ Shochu _ Cider,0.49317,4.8
