Bar,Average_Compound,評分
196 Bar,0.7826121212121212,5.0
ABV Bar & Kitchen 加勒比海餐酒館 台北忠孝店 大安區美食 大安區餐酒館 異國料理烤肉｜中南美洲菜｜聚餐宵夜包場｜精釀啤酒餐廳,0.6899945868945869,4.6
A Glass or Two,0.700375,4.6
Alchemy Bar Taipei,0.5636327272727273,4.4
A Light,0.5611830985915494,4.4
attic trade company,0.6838573684210526,4.8
BAR24,0.4416076923076922,4.7
Barcode,0.4869808306709265,4.3
Bar Crouch & Hide 臥藏,0.6721906666666665,4.8
Bar Digout,0.5003542553191489,4.4
Bar Edge,0.6744439024390243,5.0
BAR HINOKI,0.6581537313432836,4.9
Bar Root by -1,0.5387080568720378,4.4
Bar Weekend,0.648433870967742,4.6
Bar 浮,0.5310642857142858,4.4
"Bibber Dessert Bar · 酒徒的點心店 by Vivid Hermit Saloon Co., Ltd",0.6691606837606836,4.8
BLAH BLAH Bar,0.480190909090909,4.1
Buns Cafe,0.6845333333333334,5.0
Charlie's Sports Bar Taipei,0.5961162162162161,4.7
CHICKEN BAR _ TAIPEI,0.5253260869565217,4.9
Church Taipei,0.5764018957345971,4.2
Church Taipei,0.5764018957345971,4.2
Circle Gallery Bar 藝廊酒吧,0.5962133333333333,4.7
Club Myst,0.3190279069767441,4.0
Crowd Night _ 台北酒吧 _ 信義區酒吧 _ 台北talkin bar _ 信義區talking bar _ 台北餐酒館 _ 信義區餐酒館,0.6437791666666667,4.9
Draft Land XinYi,0.462420704845815,4.4
Drunk Play 爛醉不累,0.5236725099601593,4.0
ENI.放感情信義ATT店,0.5282833333333333,5.0
Escape Bar｜台北酒吧｜信義區酒吧｜台北餐酒館｜信義區餐酒館｜台北信義區B,0.6070101449275362,4.7
Fake Sober Taipei,0.5260558052434456,4.5
Fancy Hip Tiger Bar (Outside),0.47377,4.4
Find Alley,0.5455183098591548,4.8
Flare Taipei,0.640563440860215,4.7
FRANK Taipei,0.4163352024922118,3.9
Frontline Bar & Restaurant,0.5761698529411765,4.8
GREY ME 瑰秘。茶酒.信義區餐酒館.晚餐宵夜美食.特色浮誇調酒.聚餐包場.投影餐廳.信義區餐廳推薦.大安區餐廳推薦,0.6514977168949772,4.4
GUM GUM雞翅啤酒吧,0.7720475218658892,4.6
IKON Taipei,0.2755097058823529,3.9
IMAGE INHOUSE,0.4661858333333333,4.5
Kalopsia,0.58563,4.9
KOR Taipei,0.6409877777777778,4.6
Les Muses Wine House,0.6737012345679012,4.9
Luana Wine Cafe,0.6343277777777777,4.6
MADE Paris _東區酒吧_美食酒吧_台北熱門酒吧_特色酒吧_餐酒館,0.671193085106383,4.6
MQ - Marquee Taipei,0.4700083018867924,4.2
MUIM Taipei 放感情｜ 大安餐酒館推薦 人氣DJ酒吧 網美餐廳 酒吧 活動派對 生日包場 企業包場餐酒館,0.6520459064327486,4.8
ND.Official Nadarrach,0.6811288590604027,4.7
Needle Bar,0.6410271604938271,4.6
NIHONSHU Sake Space台北清酒吧,0.638385294117647,5.0
OFF GRID SHISHA _ CAFE & BAR _ TAIPEI,0.6741231884057971,5.0
ONCOR 響艷都市會所 信義店,0.6153738028169013,4.9
Opium Champagne Bar,0.66295,4.3
Otherside Taipei 另一邊,0.6548068376068376,4.8
Ounce,0.5562857142857143,4.5
OXI Oyster & Wine Live House,0.6836872852233679,4.9
PLAYING Hookah,0.5390725490196079,4.4
Posino Taipei,0.7042111111111111,5.0
PUN,0.6651218120805369,4.5
Range Bistrokaya鐵板廚房餐廳,0.6652799418604652,4.8
Reset Shisha Lounge,0.613234375,4.7
Sandalwood Taipei,0.5612763157894737,4.4
SEA TO SKY - Seafood&Bar,0.6650603703703704,4.2
Shisha屋Matchill,0.677026213592233,4.9
Sidebar,0.6251523131672598,4.6
Sleep No More,0.4641132978723404,4.3
SunDay酉日咖啡吧,0.7097917475728155,4.8
Taipei Club 台北夜店,0.5883145299145299,4.8
tei by OBOND,0.5728966666666667,4.3
The Bed Xinyi Shisha Bar & Live House,0.6195842105263157,5.0
The Public House,0.6420539473684211,4.5
Tickle my fantasy,0.2568026470588235,3.1
TIPSY Sparrow,0.5236535211267606,4.4
Twilight 餐酒館｜大安區酒吧｜信義安和酒吧｜,0.7098723502304148,4.8
Under Construction Cafe & Bar 施工中咖啡吧,0.6503,4.7
unDer lab,0.625381045751634,4.6
UNO Taipei _ 🇲🇽Mezcal梅茲卡Bar,0.6261531250000001,4.8
WAT,0.5963932432432433,4.7
WOOBAR,0.5604405750798722,4.3
W Taipei WET 池畔酒吧,0.5718083333333334,4.5
WTNC,0.4471749999999999,4.4
XD－Bar,0.5906961672473867,5.0
YEN Bar 紫艷酒吧,0.6290388888888889,4.5
丘香Sake bar,0.6666099337748344,4.7
交易吧 Just Exchange Bar,0.6555970930232558,4.9
佐吧,0.6528675213675214,5.0
來吧台北日式餐酒館-酒吧調酒暢飲 taipeibar 約會餐廳 必訪信義區酒吧 PTT Dcard 台北酒吧 台北餐酒館 taipeifood 國父紀念館酒吧 國父紀念館餐酒館 大安酒吧 信義區餐酒館 信義區暢飲,0.6556490963855421,4.9
冒險者公會 The A.G's Bar,0.6746010152284264,4.8
午后 Afternoon Delight,0.6974723163841807,4.7
去憂餐酒館 Chill Bistro & Bar,0.6410154471544716,4.6
台北艾麗酒店 大廳酒吧,0.5020262672811061,4.3
吉比鮮釀餐廳 台北信義店 GBA Brewery Restaurant - Taipei Hsinyi Store,0.6210294943820225,4.3
啜飲室,0.5321706214689266,4.5
如夢 ｜嘻哈酒吧｜KTV吧檯｜小米酒調酒,0.5547963855421687,4.9
安慰劑 Placebo Taipei,0.5984180064308682,4.3
小後苑Backyard Jr. (信義Xinyi),0.5796178321678321,4.2
微型精釀啤酒吧Beer Geek,0.6170077551020408,4.6
掌門精釀啤酒Tap Bistro Zhangmen - 微風松高店,0.4930234432234431,4.0
桃源二村｜ 台北大安 六張犁餐酒館 調酒BAR 人氣美食 牛肉麵雞湯 嘻哈 音樂酒吧 特色酒吧推薦 寵物友善,0.5294830985915492,4.6
榕 RON Xinyi,0.6018752542372882,4.5
海灘叢林 A Beach,0.7327722433460075,4.5
渣男 Taiwan Bistro 信義一渣,0.59222944606414,4.7
濪 Ｍizuiro Sake Bar,0.6446403508771928,4.8
無向 Bar Without Anhe,0.6175004032258066,4.6
琥珀蜂巢,0.6448909090909091,4.3
綠洲信義 The Oasis Tavern Xinyi,0.6910620253164557,4.8
綺夢 Lounge Bar,0.5144073394495412,4.6
羊吧 Sheep Bar（入內請按黑色電鈴）,0.6479167785234898,4.9
肴合清酒 Signature Bar （時間如有更動，以FB粉專、IG公告為主，16～18為預約制）,0.5824921985815603,4.9
討酒吧 Tao jiu bar (松山文創風格店家）,0.74385625,4.7
討酒吧 Tao jiu bar (松菸設計點店),0.7034571428571429,4.9
週末炸雞俱樂部 WEEKEND CHICKEN & BAR _ 台北,0.5400493464052287,4.3
酒樂CAFE,0.1718818505338078,3.1
隱世餐酒館(台北永春店),0.6495408,4.6
隱城•小城外Hidden City,0.611248780487805,4.6
