Bar,Average_Compound,評分
23 Public _ Craft Beer 精釀吧,0.5821409090909091,4.5
85 Lounge,0.3963637037037037,4.4
ABV Bar & Kitchen 加勒比海餐酒館 台北忠孝店 大安區美食 大安區餐酒館 異國料理烤肉｜中南美洲菜｜聚餐宵夜包場｜精釀啤酒餐廳,0.6900193732193733,4.6
ABV Bar & Kitchen 南洋餐酒館 台北國館店 早午餐 大安區餐酒館｜東南亞菜 泰國料理 越南料理 菲律賓菜 馬來西亞菜 新加坡菜 聚餐包場推薦餐廳,0.6427789473684211,4.8
ABV Bar & Kitchen 地中海餐酒館 台北創始店 大安區餐酒館 國父紀念美食｜地中海料理 精釀啤 酒 聚餐約會宵夜美食,0.6170137535816619,4.5
ABV Bar & Kitchen美式餐酒館 台北敦化店 美式烤肉BBQ｜大安區美食餐酒館｜鄉村菜｜精釀啤 酒｜聚餐約會宵夜美食,0.6396126506024097,4.7
AKA Artland,0.6176132075471699,4.7
Al Darts,0.3616718309859155,4.5
AQUA Lounge,0.6610038461538461,4.8
B612 Restaurant &Bar _餐酒館_酒吧_餐廳_,0.7869678111587982,4.7
Barcade Taiwan,0.6822378600823045,4.7
Bar Crouch & Hide 臥藏,0.6734933333333334,4.8
Bar Digout,0.5008975177304964,4.4
Bar Mood Taipei 吧沐,0.6841757925072046,4.4
Bar NyxU 夜人,0.588534375,5.0
Bar Pine松,0.6544970588235294,4.4
Bar Root by -1,0.5389355450236967,4.4
BARTWO【大安區六張犁人氣酒吧】特色調酒｜人氣平價餐酒館｜包場,0.6811222672064776,4.8
Bar Way Home,0.7041227513227514,4.8
Bar Weekend,0.6474120967741935,4.6
BAR宮,0.6397208661417323,4.8
Book ing 東區店｜東區推薦酒吧、聚餐、約會餐酒館,0.80297,4.8
D.Beer居吧-大安深夜酒吧_放鬆酒吧_人氣酒吧_聚餐餐廳_酒吧首選_熱門酒吧_必吃餐酒館_首選餐酒館,0.6356740740740741,5.0
Draft Land,0.5722189759036145,4.6
EAST END,0.6095545454545455,4.4
Fourplay Cuisine,0.6415770588235294,4.3
Gravity 磁場,0.6111269058295964,4.8
Hackers Bar H4CK3R 駭 客餐酒館 _ 推薦餐酒館 _ 東區特色調酒餐廳 _ 酒吧 _ 大安區 _ 國父紀念館 _ 大巨蛋,0.6513409090909091,5.0
HOKY's Spirit Bar,0.46935625,4.5
INDULGE Bistro (實驗創新餐酒館),0.748877077363897,4.5
Intention,0.7993644444444445,4.9
Joiny Taipei 招台北餐酒館,0.7008979094076654,4.9
J's Place 輕鬆小酒吧,0.6428940828402367,4.6
J WOW Cafe_Bistro,0.6534303030303031,4.7
Karen 大安店,0.4007711538461538,4.4
Kashoku,0.4979688405797101,4.5
Kondo bar,0.5879751937984496,4.8
KOR Taipei,0.6410169444444445,4.6
Le Chamber 餐酒館,0.7659986842105263,4.8
Libido Wine Gallery-大安放鬆酒吧_朋友小聚_葡萄酒吧_特色酒吧_葡萄酒館_紅酒酒館,0.5948342105263157,4.7
MADE Taipei-東區人氣酒吧_cp酒吧_必去酒吧_忠孝復興人氣酒吧_特色酒吧_熱門酒吧_餐酒館,0.7292443902439023,4.6
MADE Taipei-東區人氣酒吧_cp酒吧_必去酒吧_忠孝復興人氣酒吧_特色酒吧_熱門酒吧_餐酒館,0.7292443902439023,4.6
MANIA 躁鎮,0.4764830917874396,4.4
Mellow Bar & Restaurant,0.6888374074074075,4.8
Metro23 Taipei,0.642475816993464,4.6
Mirror Lounge,0.3873165957446808,4.2
MOD 摩得餐坊,0.4003013274336284,4.2
MONO MONO,0.5976878378378379,4.7
MUIM Taipei 放感情｜ 大安餐酒館推薦 人氣DJ酒吧 網美餐廳 酒吧 活動派對 生日包場 企業包場餐酒館,0.6527584795321637,4.8
MUU bar 水煙 Shisha 酒吧,0.6360324786324787,4.9
ND.Official Nadarrach,0.6835335570469798,4.7
Needle Bar,0.6478228395061727,4.6
Neverland Bar｜台北複合式酒吧｜大安區｜美味餐點_各式調酒｜啤酒買二送一｜開放式包廂｜飛鏢｜桌遊｜唱歌｜包場｜活動 _ 生日招待,0.7954478260869565,5.0
Nox Taipei,0.4768119718309858,4.5
nul taipei,0.6456524038461539,4.1
OAK,0.6447109311740892,4.7
