Bar,Average_Compound,評分
23 Music Room,0.509810465116279,4.6
7th Japanese Bar,0.5700291208791208,4.8
8528 Music Bar 不限時調酒暢飲,0.5651620689655172,4.6
85基地Bar,0.312471875,4
88 sports bar,0.4179549999999999,4.5
ABV Bar & Kitchen 日式居酒館 中山區居酒屋 中山站美食 大阪燒 廣島燒 宵夜 精釀啤酒 串燒炸物烤物,0.6063018518518518,4.6
Aimas talking bar ｜中山區夜深酒吧｜,0.7645636363636363,5
Arno bar,0.4413327586206896,4.8
A Train Leads The Way To Jazz,0.666314983713355,4.6
Authentic Bar小谷 -Bar Otani-【香水類不可】【正統酒吧】,0.4370502008032129,4.6
B52,0.2964086956521738,3.8
Bacchus Lounge Bar,0.5860865671641792,4.5
BAR1000,0.4799657894736842,4.7
BAR ACE,0.4736416666666667,4.4
Bar Amis,0.5188193548387097,4.7
Bar ansleep Taipei,0.4162129943502825,4.4
Bar Freedom,0.7057990384615385,4.7
Bar Genao,0.5287647058823529,4.7
BAR MOSAIC,0.6955337662337663,5
Bar Seed Taipei《調酒酒吧》中山區英式bar｜熱門｜深夜酒吧｜酒吧推薦｜氣氛酒吧｜捷運酒吧｜客製化調酒,0.6883148514851486,4.9
Bar Soft Cure,0.6562441176470587,4.9
Bar Vintage,0.5503833333333333,4.9
Bar VIP,0.5170055555555555,4.5
BAR 忠 Chu,0.5744049180327868,4.4
Bar 澤山,0.6018048192771085,4.9
Blush bar,0.6267122340425532,4.9
bochibochi bar,0.5124338461538461,4.3
Bridge,0.676175117370892,4.7
Cheers,0.298,4.2
Cinnamon bar,0.5765366666666666,4.5
Clean Rose,0.574597794117647,4.8
Continue_ Gaming Bar電玩餐酒吧,0.6583461538461538,4.5
C PARK Re_Creation by A Train,0.6534748407643313,4.5
Dimple 酒窩 Bar,0.5923807692307692,4.7
Eagle bar,0.3902230769230768,4
From A,0.7309765625,4.9
GDGaGa吉蒂卡卡酒吧,0.419105,4.2
Ginza Sakoh 銀座酒向,0.4549700440528634,4.1
Green Door Bar 綠門 老酒吧,0.4811853281853281,4.4
Hanes Singing Bar,0.5470923076923078,4.4
Honn Bar 酒吧,0.6789371428571428,4.7
HW Lounge｜Bar｜Coffee｜電影主題調酒｜Cigar 獨立雪茄室,0.6596559633027523,4.7
iSLA #612 _ 中山區酒吧・餐酒館 _ 原 Tropicana Bar,0.6502274285714287,4.8
J&J 複合式酒吧,-0.9642,2
Join酒隱Lounge Bar,0.4650328125,4.6
Lady Darts 飛鏢_BAR_聚會_運動,0.6450807017543859,4.6
La Habana Bar,0.4893774647887324,4.4
La · Lune,0.4415625,4.4
La Salle 森酒吧,0.2895105263157895,4.7
Leone Restaurant & Bar｜台北餐酒館 ｜酒吧｜ 餐廳 ｜餐酒館 ｜中山美食｜中山餐酒館｜ 林森北酒吧,0.6881468864468865,4.6
Lounge Vino,0.6494208955223881,4.9
Lux Terrace BAR 中山區 林森店,0.6016791666666667,4.4
Matt Bar,0.5410315789473684,4.4
Mingle Bar&Bistro,0.7206511111111111,4.8
Mini Base小喬室,0.5929442307692308,4.7
Mirufi Bar,0.6012284848484848,4.7
MUD Bar,0.5588990769230769,4.4
Nep. Lounge Bar,0.5684032679738562,4.4
Nine to Night Bar,0.4107833333333333,4.4
No.19 Bar,0.5548176470588235,4.7
