Bar,Average_Compound,評分
A Nook Bistro 藏匿處,0.6160513227513227,4.5
Bar Trace軌跡,0.6744270833333333,4.9
Book Bar,0.6807833333333333,5
Circle Bar,0.4879359649122807,4.5
DreamGo Bar咖啡廳,0.6607857142857143,4.7
Hakuna Pasta 無憂義大利麵｜炸物｜精釀啤酒｜餐酒館＊營業時間以社群公告為主＊,0.6330601851851851,4.9
HOYDEA,0.3858999999999999,4.2
Mademan,0.4503008849557522,4.6
Old Bridge 飛鏢吧,0.465225,4.4
Purrson Bistro 呼嚕小酒館,0.5679916129032259,4.7
Single&Double（文山特色鐵觀音梅酒、威士忌）,0.6478381395348838,5
Something Cafe & Bistro,0.5727105263157894,5
好啤氣 Temper,0.5608803030303031,4.6
尋俠堂葡萄酒鋪,0.5631287356321839,4.6
小聚苑 cafe,0.7024125748502994,5
山羊 GOAT bistro & cafe’,0.6097931677018634,4.6
徙巷小餐酒,0.7205850746268657,4.6
星河,0.26215,4.4
有喜居酒屋,0.7087942148760331,4.5
木柵串霸,0.4038008403361344,4
李氏兄弟44號餐酒館(李氏餐坊),0.6144743478260869,4.8
楓味亭,0.4019359999999999,4
海熊咖啡 Polar Bear_Cafe_Tea (咖啡_茶),0.6011723076923077,4.9
涂一個未來Bistro（TuTheFuture）,0.4231428571428571,4.7
渣男TaiwanBistro 木柵二渣,0.6014728658536586,4.8
甩泰餐酒館,0.4620759717314487,4.6
目覺北城,0.7425628019323671,4.8
米絲阿樂局調酒專賣,0.4163423357664233,4.6
老酒霸居酒屋 景美店,0.5402129577464788,4.9
自由·之丘,0.6259560846560848,4.7
茶水間全日餐飲,0.3466033333333333,4.4
菁串蔬食串燒Bar,0.6781744186046512,4.7
藍曲音樂吧,0.4019,5
追夢輸送 居酒屋,0.6704247619047619,4.8
隱 Bistro,0.550744387755102,4.7
