Bar,Average_Compound,評分
2020 cocktail&drinks,0.4886083333333333,4.6
89 Loop Sports Bar,0.6825022598870057,4.9
AL CICCHETTO HUASHAN BISTRO義麵坊華山小酒吧(餐酒館｜義大利麵｜調酒｜生啤酒｜葡萄酒),0.557522429906542,4.4
Another Brick,0.6703399999999999,4.7
ASA,0.2092536585365853,3.9
Azeroth Bar,0.63745,5
BAR FEST,0.6704723214285714,4.9
Bar M,0.5370779116465864,4.5
Bar THY 桃花源,0.7187350299401197,4.9
Bertha Irish Bar _ 公館酒吧 愛爾蘭 BAR 啤酒 調酒推薦 人氣酒吧推薦,0.5922375,4.9
B Line by A Train,0.7204623853211009,4.6
Bouti Bar Taipei - 璞邸旅店1F _北車精釀_瓶裝啤酒,0.59131,4.5
BUDA 好運豬酒吧Taproom & Wine,0.6776990521327015,4.8
Buono 享味生活 (台電大樓 師大 葡萄酒 精釀啤酒 自然葡萄酒 ),0.44835,4.7
Hello Taipei Sport Space,0.4943988165680472,4.5
HI NE NI,0.6838727272727271,4.9
HIPP 喜寶棧 - 咖啡酒館 & 貓旅館 每天營業 月底店休11月25_26日 CAFE BAR & CAT HOTEL,0.7235469767441861,5
Incoming bar,0.6283410256410256,4.5
Jolly 手工釀啤 酒泰食餐廳-衡陽店,0.6327372781065089,4.2
JupJup 精釀生啤餐酒館,0.6863505555555556,4.4
Learn Bar 學吧精釀,0.6100722222222223,4.7
LOCA Coffee&Wine,0.61545,4.6
Miss Strega Cafe & Bar 義大利女巫咖啡酒吧,0.5948299435028249,4.4
Mixtio 秘地｜咖啡.排餐.啤酒.餐酒館.商務.辦公｜不限時插座.包廂.76人場地租借.中正區美食,0.6469140350877193,4.5
NAKA Taipei,0.6269298136645962,4.7
No.82 Drawing room(82號客廳）,0.4879791666666667,4.8
Power Beef 日式烤牛肉飯小酒館,0.5421927152317881,4.1
Prozac Balcony 百憂解陽台,0.5826616740088106,4.6
R8 Metro Bar - R8捷運輕食吧,0.48372,4.6
RainbowGym 彩虹健身房 公館健身房 健身酒吧,0.6124075,4.9
Revolver,0.4734573816155989,4.3
SipSip Bar & Restaurant,0.5587514563106796,4.3
Staff Only Club,0.5808534693877551,4.4
SUNMAI BAR 中正 R8,0.516059493670886,5
Taipei Alcohol Exchange Kaffe 台北酒精交易所,0.78634,4.6
The Misanthrope Society 厭世會社｜Cafe Bistro Bookstore,0.631364344262295,4.6
The Primrose(Bar春花),0.6833860377358492,4.6
The Shrine,0.5362401360544218,4.4
Whisky Salon (台灣第一家Japanese Whisky Bar),0.687495,5
WHOOSAH.,0.4211973529411764,4.2
Wink1號店,0.63337969348659,4.9
メロメロ MeloMelo Cafe&bar,0.5093510638297873,4.4
三重奏比特司 Trio bitters,0.6271276,4.4
二丁目 - Taipei,0.5026125,4.4
作 SAKU by necoichi,0.3167,5
公館45 Old Bar Coffee,0.4178071641791044,4.1
劑院 Dose cuisine & malt,0.5797477419354838,4.5
北風北_古亭酒吧,0.6133572139303483,4.6
台北喜來登大飯店 - 大廳酒吧 The Lounge,0.42014,4.2
喜咧,0.6272526315789474,5
土貓商號 Turkish Kedi,0.5479362637362638,4.6
小公館咖啡 精釀啤酒,0.3930362162162162,3.9
小地方seams,0.5915774774774775,4.7
小屋shisha,0.74868,5
怪咖屋THE WACKO HOUSE Brunch & Bar,0.67435625,5
拉圖爾精釀柴燒餐廳 La Tour Craft Beer & Wood Grill,0.7136611486486487,4.6
渣男Taiwan Bistro古亭四渣,0.5687190615835777,4.7
澗面小酒館 Bar & Bistro,0.7762093023255815,5
無意義,0.7616545000000001,4.9
燕子愛紅酒Yan's Wine,0.7672499999999998,4.8
窖父 Hide Out,0.4430043243243244,4.3
純愛小吃部,0.4992143442622951,4.2
維都餐酒館｜啤酒｜調酒｜生啤塔（公館店）,0.6068540322580644,4.7
老同安小酒館,0.5611745192307692,4.3
老屁股,0.5733773333333334,4.7
艾萃咖啡 VR BAR,0.6364645161290322,4.8
草頭西,0.5674499999999999,4.5
華山町餐酒館,0.562828870292887,4.3
西門暖閣餐酒館／waroom Restaurant Bar,0.6050190839694656,4.9
言文字 Emoji Cafe & Bar｜數位工作者聚落 The Digital Tribe,0.6397953488372093,4.8
酒販角落,0.545968,4.8
金色三麥,0.5340374999999999,4.9
錢記披薩 cash's bar & pizza,0.5324428571428571,4.1
防空洞 bomb shelter 華山店,0.5082019047619047,4.6
離騷 Bar & Bistro,0.7234845454545455,4.8
黑帽爵士咖啡酒吧 BlackHatJazz cafe & Bar 西區推薦｜西區餐酒｜西區酒吧｜西區餐廳｜約會｜聚餐｜包場,0.710075744680851,4.8
